zip,count
63005,1870
63011,3330
63017,4039
63021,5218
63025,1523
63026,3032
63031,5061
63033,4498
63034,1954
63038,632
63040,858
63042,1861
63043,2308
63044,1256
63045,NA
63049,154
63069,169
63074,1392
63088,919
63105,1204
63114,3091
63117,792
63119,3064
63120,83
63121,1990
63122,3781
63123,5272
63124,979
63125,3397
63126,1370
63127,608
63128,3289
63129,6204
63130,2104
63131,1846
63132,1172
63133,569
63134,1336
63135,1716
63136,3720
63137,1635
63138,1801
63140,33
63141,1813
63143,653
63144,908
63146,2716
