zip,count
63005,1871
63011,3332
63017,4041
63021,5221
63025,1523
63026,3032
63031,5064
63033,4504
63034,1958
63038,632
63040,858
63042,1866
63043,2311
63044,1258
63045,NA
63049,154
63069,169
63074,1397
63088,919
63105,1206
63114,3097
63117,792
63119,3067
63120,83
63121,1991
63122,3785
63123,5274
63124,979
63125,3396
63126,1372
63127,608
63128,3292
63129,6209
63130,2108
63131,1847
63132,1172
63133,570
63134,1337
63135,1717
63136,3723
63137,1637
63138,1803
63140,33
63141,1814
63143,652
63144,908
63146,2716
