zip,count
63005,2213
63011,3961
63017,4850
63021,6328
63025,1824
63026,3574
63031,6692
63033,6120
63034,2512
63038,760
63040,1017
63042,2600
63043,2782
63044,1554
63045,NA
63049,199
63069,207
63074,1881
63088,1084
63105,1420
63114,4105
63117,938
63119,3621
63120,118
63121,2771
63122,4525
63123,6330
63124,1171
63125,4222
63126,1702
63127,715
63128,3931
63129,7443
63130,2797
63131,2169
63132,1480
63133,825
63134,1838
63135,2506
63136,5236
63137,2391
63138,2595
63140,44
63141,2183
63143,809
63144,1036
63146,3372
