zip,count
63005,3926
63011,7421
63017,8459
63021,11673
63025,3083
63026,6079
63031,11299
63033,10343
63034,4336
63038,1349
63040,1797
63042,4430
63043,4733
63044,2580
63045,NA
63049,406
63069,385
63074,3243
63088,1811
63105,2872
63114,7094
63117,1722
63119,6425
63120,250
63121,4672
63122,8093
63123,11297
63124,2076
63125,7434
63126,3249
63127,1255
63128,6701
63129,12747
63130,5175
63131,3799
63132,2845
63133,1356
63134,3042
63135,4402
63136,8819
63137,3981
63138,4309
63140,78
63141,3893
63143,1523
63144,1854
63146,6048
