report_date,in_pt_adult,in_pt_adult_avg,in_pt_peds,in_pt_peds_avg,in_pt_pct,in_pt_pct_avg,icu_adult,icu_adult_avg,mortality,mortality_avg,new_in_pt_adult,new_in_pt_adult_avg,new_in_pt_peds,new_in_pt_peds_avg
2021-05-19,642,655.1428571428571,50,42.285714285714285,0.050072358900145,0.05535244124142843,208,209.14285714285714,4,6.285714285714286,197,173.57142857142858,28,23
2021-05-20,634,641.5714285714286,50,44,0.049529326574946,0.05439260694959557,201,207.28571428571428,8,5.571428571428571,195,174.14285714285714,28,24.714285714285715
2021-05-21,652,636.4285714285714,48,45.142857142857146,0.051338467180051,0.054058188215484,213,206.85714285714286,4,5.571428571428571,169,173.14285714285714,22,24.714285714285715
2021-05-22,616,629.2857142857143,41,45.285714285714285,0.049750113584734,0.05332508432815743,197,205.85714285714286,3,5.285714285714286,146,171.85714285714286,13,23.714285714285715
2021-05-23,590,624.4285714285714,42,45.142857142857146,0.049390434510785,0.05275617361908757,189,203.57142857142858,8,5.857142857142857,141,169.71428571428572,23,24.142857142857142
2021-05-24,603,622.4285714285714,46,45.857142857142854,0.057291666666667,0.05214661004906243,202,202.28571428571428,6,5.857142857142857,191,172,34,25.142857142857142
2021-05-25,618,622.1428571428571,44,45.857142857142854,0.054624969056853,0.05171390521059729,201,201.57142857142858,4,5.285714285714286,189,175.42857142857142,27,25
2021-05-26,622,619.2857142857143,57,46.857142857142854,0.048951048951049,0.05155371807501214,199,200.28571428571428,3,5.142857142857143,177,172.57142857142858,28,25
2021-05-27,612,616.1428571428571,52,47.142857142857146,0.047956088400982,0.051328969764445856,198,199.85714285714286,6,4.857142857142857,186,171.28571428571428,21,24
2021-05-28,622,611.8571428571429,35,45.285714285714285,0.047910741632028,0.050839294686156854,217,200.42857142857142,6,5.142857142857143,183,173.28571428571428,42,26.857142857142858
2021-05-29,616,611.8571428571429,36,44.57142857142857,0.050123001230012,0.050892564349768,209,202.14285714285714,1,4.857142857142857,172,177,30,29.285714285714285
2021-05-30,642,619.2857142857143,36,43.714285714285715,0.054136058767167,0.051570510672108286,214,205.71428571428572,10,5.142857142857143,150,178.28571428571428,22,29.142857142857142
2021-05-31,601,619,36,42.285714285714285,0.058274631781173,0.051710934259894856,209,206.71428571428572,6,5.142857142857143,142,171.28571428571428,24,27.714285714285715
2021-06-01,635,621.4285714285714,38,41.42857142857143,0.060412926391382,0.052537785307684715,194,205.71428571428572,5,5.285714285714286,192,171.71428571428572,25,27.428571428571427
2021-06-02,682,630,40,39,0.053131209066156,0.053134951038414285,211,207.42857142857142,7,5.857142857142857,177,171.71428571428572,24,26.857142857142858
2021-06-03,647,635,32,36.142857142857146,0.049089068825911,0.05329680538483272,202,208,8,6.142857142857143,201,173.85714285714286,13,25.714285714285715
2021-06-04,637,637.1428571428571,30,35.42857142857143,0.048092868988391,0.053322823578598855,217,208,3,5.714285714285714,170,172,17,22.142857142857142
2021-06-05,622,638,27,34.142857142857146,0.048995923297599,0.053161812445397,213,208.57142857142858,6,6.428571428571429,148,168.57142857142858,11,19.428571428571427
2021-06-06,613,633.8571428571429,28,33,0.049933785152294,0.05256148764327229,221,209.57142857142858,4,5.571428571428571,165,170.71428571428572,17,18.714285714285715
2021-06-07,635,638.7142857142857,39,33.42857142857143,0.058998599439776,0.05266491159450128,201,208.42857142857142,8,5.857142857142857,217,181.42857142857142,19,18
2021-06-08,659,642.1428571428571,40,33.714285714285715,0.058386234547277,0.05237538418820057,202,209.57142857142858,2,5.428571428571429,227,186.42857142857142,24,17.857142857142858
2021-06-09,693,643.7142857142857,36,33.142857142857146,0.051923076923077,0.052202793882046426,201,208.14285714285714,8,5.571428571428571,196,189.14285714285714,28,18.428571428571427
2021-06-10,657,645.1428571428571,31,33,0.04900983046018,0.05219147411551343,202,208.14285714285714,13,6.285714285714286,228,193,21,19.571428571428573
2021-06-11,669,649.7142857142857,35,33.714285714285715,0.050878080508781,0.05258936147556914,208,206.85714285714286,8,7,206,198.14285714285714,24,20.571428571428573
2021-06-12,681,658.1428571428571,33,34.57142857142857,0.05376101197199,0.05327008842905357,210,206.42857142857142,5,6.857142857142857,176,202.14285714285714,20,21.857142857142858
2021-06-13,679,667.5714285714286,38,36,0.056297110552764,0.054179134914835,209,204.71428571428572,5,7,188,205.42857142857142,15,21.571428571428573
2021-06-14,709,678.1428571428571,35,35.42857142857143,0.066410782826029,0.055238018255728286,210,206,6,6.714285714285714,220,205.85714285714286,17,21.285714285714285
2021-06-15,735,689,32,34.285714285714285,0.064254000167546,0.05607627048719529,213,207.57142857142858,3,6.857142857142857,194,201.14285714285714,24,21.285714285714285
2021-06-16,712,691.7142857142857,28,33.142857142857146,0.053168558700963,0.056254196455464714,206,208.28571428571428,10,7.142857142857143,222,204.85714285714286,20,20.142857142857142
2021-06-17,759,706.2857142857143,31,33.142857142857146,0.056231760267635,0.05728590071367257,226,211.71428571428572,2,5.571428571428571,227,204.71428571428572,32,21.714285714285715
2021-06-18,753,718.2857142857143,26,31.857142857142858,0.056071402864752,0.05802780390738271,244,216.85714285714286,4,5,222,207,19,21
2021-06-19,763,730,25,30.714285714285715,0.058836705741805,0.058752903017356285,236,220.57142857142858,7,5.285714285714286,205,211.14285714285714,10,19.571428571428573
2021-06-20,733,737.7142857142857,28,29.285714285714285,0.058569999230355,0.059077601399869284,236,224.42857142857142,5,5.285714285714286,197,212.42857142857142,18,20
2021-06-21,774,747,30,28.571428571428573,0.071112683530869,0.059749301500560716,251,230.28571428571428,9,5.714285714285714,214,211.57142857142858,34,22.428571428571427
2021-06-22,802,756.5714285714286,31,28.428571428571427,0.069082766627965,0.06043912528062057,269,238.28571428571428,6,6.142857142857143,232,217,36,24.142857142857142
2021-06-23,813,771,42,30.428571428571427,0.060445387062566,0.061478672189421,278,248.57142857142858,7,5.714285714285714,222,217,23,24.571428571428573
2021-06-24,827,780.7142857142857,31,30.428571428571427,0.060782091243978,0.06212871947175572,279,256.14285714285717,8,6.571428571428571,239,218.71428571428572,25,23.571428571428573
2021-06-25,846,794,35,31.714285714285715,0.063059194044807,0.06312697535462071,281,261.42857142857144,14,8,225,219.14285714285714,20,23.714285714285715
2021-06-26,853,806.8571428571429,36,33.285714285714285,0.066497120203456,0.06422132027771371,267,265.85714285714283,11,8.571428571428571,211,220,13,24.142857142857142
2021-06-27,826,820.1428571428571,30,33.57142857142857,0.066197509860026,0.065310964653381,271,270.85714285714283,9,9.142857142857142,231,224.85714285714286,19,24.285714285714285
2021-06-28,881,835.4285714285714,28,33.285714285714285,0.080435359702681,0.06664277553506842,295,277.14285714285717,13,9.714285714285714,224,226.28571428571428,32,24
2021-06-29,912,851.1428571428571,33,33.57142857142857,0.078828828828829,0.06803507013519186,300,281.57142857142856,7,9.857142857142858,217,224.14285714285714,18,21.428571428571427
2021-06-30,918,866.1428571428571,40,33.285714285714285,0.06914970405659,0.06927854399148099,296,284.14285714285717,11,10.428571428571429,236,226.14285714285714,29,22.285714285714285
2021-07-01,947,883.2857142857143,31,33.285714285714285,0.070228349849203,0.07062800950651314,302,287.42857142857144,7,10.285714285714286,246,227.14285714285714,23,22
2021-07-02,939,896.5714285714286,27,32.142857142857146,0.070076169749728,0.07163043460721615,320,293,13,10.142857142857142,257,231.71428571428572,22,22.285714285714285
2021-07-03,979,914.5714285714286,32,31.571428571428573,0.076718773713765,0.07309067082297457,335,302.7142857142857,8,9.714285714285714,224,233.57142857142858,21,23.428571428571427
2021-07-04,1009,940.7142857142857,33,32,0.082150741091138,0.07536970385599057,354,314.57142857142856,6,9.285714285714286,217,231.57142857142858,19,23.428571428571427
2021-07-05,997,957.2857142857143,37,33.285714285714285,0.095281975672687,0.07749064899456286,344,321.57142857142856,9,8.714285714285714,272,238.42857142857142,17,21.285714285714285
2021-07-06,1082,981.5714285714286,36,33.714285714285715,0.098580372101226,0.08031229803347671,373,332,13,9.571428571428571,293,249.28571428571428,31,23.142857142857142
2021-07-07,1144,1013.8571428571429,55,35.857142857142854,0.086708128435059,0.08282064437325799,387,345,8,9.142857142857142,288,256.7142857142857,29,23.142857142857142
2021-07-08,1172,1046,44,37.714285714285715,0.086009336539822,0.08507507104334643,395,358.2857142857143,8,9.285714285714286,298,264.14285714285717,30,24.142857142857142
2021-07-09,1208,1084.4285714285713,42,39.857142857142854,0.089037680746492,0.08778385832859843,405,370.42857142857144,9,8.714285714285714,277,267,23,24.285714285714285
2021-07-10,1199,1115.857142857143,39,40.857142857142854,0.091629043001998,0.089913896798346,410,381.14285714285717,17,10,272,273.85714285714283,27,25.142857142857142
2021-07-11,1236,1148.2857142857142,51,43.42857142857143,0.097840960924434,0.09215535677453114,418,390.2857142857143,10,10.571428571428571,280,282.85714285714283,26,26.142857142857142
2021-07-12,1306,1192.4285714285713,50,45.285714285714285,0.115276715123693,0.09501174812467486,451,405.57142857142856,15,11.428571428571429,322,290,34,28.571428571428573
2021-07-13,1309,1224.857142857143,48,47,0.109949765029979,0.09663594711449672,464,418.57142857142856,20,12.428571428571429,327,294.85714285714283,32,28.714285714285715
2021-07-14,1369,1257,55,47,0.098827121937678,0.09836723190058515,480,431.85714285714283,19,14,297,296.14285714285717,44,30.857142857142858
2021-07-15,1421,1292.5714285714287,59,49.142857142857146,0.10187925931025,0.10063436372493201,490,445.42857142857144,21,15.857142857142858,311,298,31,31
2021-07-16,1386,1318,55,51,0.101030638715558,0.10234764343479857,484,456.7142857142857,17,17,321,304.2857142857143,26,31.428571428571427
2021-07-17,1368,1342.142857142857,52,52.857142857142854,0.103649635036496,0.10406487086829828,488,467.85714285714283,17,17,304,308.85714285714283,23,30.857142857142858
