Date Administered	Jurisdiction	Ethnicity	COVID-19 Doses Administered
1/14/2021	Adair	Unknown	62
1/13/2021	Adair	Unknown	10
1/12/2021	Adair	Unknown	1
1/11/2021	Adair	Unknown	16
1/9/2021	Adair	Unknown	2
1/4/2021	Adair	Unknown	2
12/31/2020	Adair	Unknown	2
12/29/2020	Adair	Unknown	1
12/28/2020	Adair	Unknown	2
12/23/2020	Adair	Unknown	139
12/22/2020	Adair	Unknown	2
12/21/2020	Adair	Unknown	172
12/18/2020	Adair	Unknown	1
8/28/2021	Adair	Not Hispanic or Latino	2
8/27/2021	Adair	Not Hispanic or Latino	6
8/26/2021	Adair	Not Hispanic or Latino	13
8/25/2021	Adair	Not Hispanic or Latino	14
8/24/2021	Adair	Not Hispanic or Latino	14
8/23/2021	Adair	Not Hispanic or Latino	15
8/22/2021	Adair	Not Hispanic or Latino	5
8/21/2021	Adair	Not Hispanic or Latino	15
8/20/2021	Adair	Not Hispanic or Latino	23
8/19/2021	Adair	Not Hispanic or Latino	21
8/18/2021	Adair	Not Hispanic or Latino	10
8/17/2021	Adair	Not Hispanic or Latino	23
8/16/2021	Adair	Not Hispanic or Latino	28
8/15/2021	Adair	Not Hispanic or Latino	1
8/14/2021	Adair	Not Hispanic or Latino	9
8/13/2021	Adair	Not Hispanic or Latino	40
8/12/2021	Adair	Not Hispanic or Latino	22
8/11/2021	Adair	Not Hispanic or Latino	21
8/10/2021	Adair	Not Hispanic or Latino	25
8/9/2021	Adair	Not Hispanic or Latino	10
8/8/2021	Adair	Not Hispanic or Latino	15
8/7/2021	Adair	Not Hispanic or Latino	10
8/6/2021	Adair	Not Hispanic or Latino	35
8/5/2021	Adair	Not Hispanic or Latino	22
8/4/2021	Adair	Not Hispanic or Latino	13
8/3/2021	Adair	Not Hispanic or Latino	25
8/2/2021	Adair	Not Hispanic or Latino	30
8/1/2021	Adair	Not Hispanic or Latino	9
7/31/2021	Adair	Not Hispanic or Latino	12
7/30/2021	Adair	Not Hispanic or Latino	29
7/29/2021	Adair	Not Hispanic or Latino	25
7/28/2021	Adair	Not Hispanic or Latino	20
7/27/2021	Adair	Not Hispanic or Latino	24
7/26/2021	Adair	Not Hispanic or Latino	25
7/25/2021	Adair	Not Hispanic or Latino	9
7/24/2021	Adair	Not Hispanic or Latino	18
7/23/2021	Adair	Not Hispanic or Latino	36
7/22/2021	Adair	Not Hispanic or Latino	23
7/21/2021	Adair	Not Hispanic or Latino	15
7/20/2021	Adair	Not Hispanic or Latino	10
7/19/2021	Adair	Not Hispanic or Latino	23
7/18/2021	Adair	Not Hispanic or Latino	8
7/17/2021	Adair	Not Hispanic or Latino	16
7/16/2021	Adair	Not Hispanic or Latino	22
7/15/2021	Adair	Not Hispanic or Latino	18
7/14/2021	Adair	Not Hispanic or Latino	17
7/13/2021	Adair	Not Hispanic or Latino	12
7/12/2021	Adair	Not Hispanic or Latino	11
7/10/2021	Adair	Not Hispanic or Latino	17
7/9/2021	Adair	Not Hispanic or Latino	7
7/8/2021	Adair	Not Hispanic or Latino	25
7/7/2021	Adair	Not Hispanic or Latino	11
7/6/2021	Adair	Not Hispanic or Latino	11
7/5/2021	Adair	Not Hispanic or Latino	10
7/4/2021	Adair	Not Hispanic or Latino	1
7/3/2021	Adair	Not Hispanic or Latino	5
7/2/2021	Adair	Not Hispanic or Latino	7
7/1/2021	Adair	Not Hispanic or Latino	10
6/30/2021	Adair	Not Hispanic or Latino	5
6/29/2021	Adair	Not Hispanic or Latino	10
6/28/2021	Adair	Not Hispanic or Latino	9
6/27/2021	Adair	Not Hispanic or Latino	5
6/26/2021	Adair	Not Hispanic or Latino	4
6/25/2021	Adair	Not Hispanic or Latino	16
6/24/2021	Adair	Not Hispanic or Latino	12
6/23/2021	Adair	Not Hispanic or Latino	8
6/22/2021	Adair	Not Hispanic or Latino	10
6/21/2021	Adair	Not Hispanic or Latino	10
6/20/2021	Adair	Not Hispanic or Latino	1
6/19/2021	Adair	Not Hispanic or Latino	2
6/18/2021	Adair	Not Hispanic or Latino	10
6/17/2021	Adair	Not Hispanic or Latino	11
6/16/2021	Adair	Not Hispanic or Latino	6
6/15/2021	Adair	Not Hispanic or Latino	4
6/14/2021	Adair	Not Hispanic or Latino	11
6/13/2021	Adair	Not Hispanic or Latino	2
6/12/2021	Adair	Not Hispanic or Latino	6
6/11/2021	Adair	Not Hispanic or Latino	12
6/10/2021	Adair	Not Hispanic or Latino	12
6/9/2021	Adair	Not Hispanic or Latino	12
6/8/2021	Adair	Not Hispanic or Latino	16
6/7/2021	Adair	Not Hispanic or Latino	13
6/5/2021	Adair	Not Hispanic or Latino	7
6/4/2021	Adair	Not Hispanic or Latino	25
6/3/2021	Adair	Not Hispanic or Latino	7
6/2/2021	Adair	Not Hispanic or Latino	11
6/1/2021	Adair	Not Hispanic or Latino	14
5/31/2021	Adair	Not Hispanic or Latino	2
5/30/2021	Adair	Not Hispanic or Latino	3
5/29/2021	Adair	Not Hispanic or Latino	3
5/28/2021	Adair	Not Hispanic or Latino	20
5/27/2021	Adair	Not Hispanic or Latino	9
5/26/2021	Adair	Not Hispanic or Latino	10
5/25/2021	Adair	Not Hispanic or Latino	10
5/24/2021	Adair	Not Hispanic or Latino	10
5/23/2021	Adair	Not Hispanic or Latino	6
5/22/2021	Adair	Not Hispanic or Latino	31
5/21/2021	Adair	Not Hispanic or Latino	31
5/20/2021	Adair	Not Hispanic or Latino	15
5/19/2021	Adair	Not Hispanic or Latino	17
5/18/2021	Adair	Not Hispanic or Latino	33
5/17/2021	Adair	Not Hispanic or Latino	25
5/16/2021	Adair	Not Hispanic or Latino	18
5/15/2021	Adair	Not Hispanic or Latino	17
5/14/2021	Adair	Not Hispanic or Latino	37
5/13/2021	Adair	Not Hispanic or Latino	24
5/12/2021	Adair	Not Hispanic or Latino	8
5/11/2021	Adair	Not Hispanic or Latino	9
5/10/2021	Adair	Not Hispanic or Latino	15
5/9/2021	Adair	Not Hispanic or Latino	4
