Date Administered 1 1 1 1 1 1 1 1 (copy)	* Jurisdiction 1 1 1 1 1 1 1 1 (copy)	* Ethnicity 1 (copy)	COVID-19 Doses Administered
7/7/2021	Adair	Unknown	3
7/6/2021	Adair	Unknown	2
7/3/2021	Adair	Unknown	1
7/2/2021	Adair	Unknown	1
7/1/2021	Adair	Unknown	2
6/30/2021	Adair	Unknown	4
6/29/2021	Adair	Unknown	4
6/28/2021	Adair	Unknown	3
6/27/2021	Adair	Unknown	1
6/26/2021	Adair	Unknown	1
6/24/2021	Adair	Unknown	1
6/23/2021	Adair	Unknown	1
6/22/2021	Adair	Unknown	6
6/20/2021	Adair	Unknown	1
6/19/2021	Adair	Unknown	1
6/18/2021	Adair	Unknown	2
6/17/2021	Adair	Unknown	1
6/16/2021	Adair	Unknown	2
6/15/2021	Adair	Unknown	5
6/14/2021	Adair	Unknown	2
6/13/2021	Adair	Unknown	1
6/12/2021	Adair	Unknown	1
6/11/2021	Adair	Unknown	2
6/9/2021	Adair	Unknown	1
6/8/2021	Adair	Unknown	1
6/7/2021	Adair	Unknown	1
6/3/2021	Adair	Unknown	2
6/2/2021	Adair	Unknown	9
6/1/2021	Adair	Unknown	2
5/31/2021	Adair	Unknown	1
5/28/2021	Adair	Unknown	4
5/26/2021	Adair	Unknown	5
5/25/2021	Adair	Unknown	2
5/24/2021	Adair	Unknown	3
5/21/2021	Adair	Unknown	12
5/20/2021	Adair	Unknown	3
5/19/2021	Adair	Unknown	2
5/18/2021	Adair	Unknown	2
5/17/2021	Adair	Unknown	1
5/15/2021	Adair	Unknown	1
5/13/2021	Adair	Unknown	26
5/12/2021	Adair	Unknown	1
5/11/2021	Adair	Unknown	4
5/10/2021	Adair	Unknown	4
5/8/2021	Adair	Unknown	3
5/7/2021	Adair	Unknown	2
5/6/2021	Adair	Unknown	1
5/5/2021	Adair	Unknown	3
5/3/2021	Adair	Unknown	2
5/1/2021	Adair	Unknown	1
4/30/2021	Adair	Unknown	2
4/29/2021	Adair	Unknown	2
4/28/2021	Adair	Unknown	9
4/27/2021	Adair	Unknown	1
4/26/2021	Adair	Unknown	8
4/24/2021	Adair	Unknown	2
4/23/2021	Adair	Unknown	20
4/22/2021	Adair	Unknown	3
4/21/2021	Adair	Unknown	26
4/20/2021	Adair	Unknown	14
4/19/2021	Adair	Unknown	1
4/18/2021	Adair	Unknown	1
4/17/2021	Adair	Unknown	1
4/16/2021	Adair	Unknown	38
4/15/2021	Adair	Unknown	2
4/14/2021	Adair	Unknown	11
4/13/2021	Adair	Unknown	30
4/12/2021	Adair	Unknown	2
4/11/2021	Adair	Unknown	1
4/10/2021	Adair	Unknown	8
4/9/2021	Adair	Unknown	11
4/8/2021	Adair	Unknown	23
4/7/2021	Adair	Unknown	9
4/6/2021	Adair	Unknown	15
4/5/2021	Adair	Unknown	12
4/3/2021	Adair	Unknown	2
4/2/2021	Adair	Unknown	53
4/1/2021	Adair	Unknown	7
3/31/2021	Adair	Unknown	5
3/30/2021	Adair	Unknown	12
3/29/2021	Adair	Unknown	1
3/27/2021	Adair	Unknown	6
3/26/2021	Adair	Unknown	12
3/25/2021	Adair	Unknown	509
3/24/2021	Adair	Unknown	4
3/23/2021	Adair	Unknown	5
3/22/2021	Adair	Unknown	8
3/21/2021	Adair	Unknown	1
3/20/2021	Adair	Unknown	1
3/19/2021	Adair	Unknown	11
3/18/2021	Adair	Unknown	15
3/17/2021	Adair	Unknown	14
3/16/2021	Adair	Unknown	10
3/15/2021	Adair	Unknown	2
3/12/2021	Adair	Unknown	38
3/11/2021	Adair	Unknown	3
3/10/2021	Adair	Unknown	2
3/9/2021	Adair	Unknown	4
3/8/2021	Adair	Unknown	10
3/6/2021	Adair	Unknown	4
3/5/2021	Adair	Unknown	19
3/4/2021	Adair	Unknown	6
3/3/2021	Adair	Unknown	1
3/2/2021	Adair	Unknown	11
3/1/2021	Adair	Unknown	13
2/26/2021	Adair	Unknown	18
2/25/2021	Adair	Unknown	2
2/24/2021	Adair	Unknown	243
2/23/2021	Adair	Unknown	3
2/22/2021	Adair	Unknown	37
2/21/2021	Adair	Unknown	1
2/19/2021	Adair	Unknown	20
2/18/2021	Adair	Unknown	1
2/17/2021	Adair	Unknown	9
2/16/2021	Adair	Unknown	3
2/12/2021	Adair	Unknown	6
2/11/2021	Adair	Unknown	39
2/10/2021	Adair	Unknown	5
2/9/2021	Adair	Unknown	2
2/8/2021	Adair	Unknown	15
2/6/2021	Adair	Unknown	1
2/5/2021	Adair	Unknown	32
2/3/2021	Adair	Unknown	2
1/28/2021	Adair	Unknown	1
1/27/2021	Adair	Unknown	6
1/26/2021	Adair	Unknown	1
1/25/2021	Adair	Unknown	1
1/24/2021	Adair	Unknown	1
1/22/2021	Adair	Unknown	2
1/20/2021	Adair	Unknown	2
1/19/2021	Adair	Unknown	2
1/18/2021	Adair	Unknown	1
1/15/2021	Adair	Unknown	1
1/13/2021	Adair	Unknown	137
1/11/2021	Adair	Unknown	164
1/9/2021	Adair	Unknown	1
7/6/2021	Adair	Not Hispanic or Latino	6
7/5/2021	Adair	Not Hispanic or Latino	8
7/4/2021	Adair	Not Hispanic or Latino	1
7/3/2021	Adair	Not Hispanic or Latino	2
7/2/2021	Adair	Not Hispanic or Latino	14
7/1/2021	Adair	Not Hispanic or Latino	12
6/30/2021	Adair	Not Hispanic or Latino	13
6/29/2021	Adair	Not Hispanic or Latino	9
6/28/2021	Adair	Not Hispanic or Latino	14
6/27/2021	Adair	Not Hispanic or Latino	5
6/26/2021	Adair	Not Hispanic or Latino	4
6/25/2021	Adair	Not Hispanic or Latino	15
6/24/2021	Adair	Not Hispanic or Latino	11
6/23/2021	Adair	Not Hispanic or Latino	5
6/22/2021	Adair	Not Hispanic or Latino	11
6/21/2021	Adair	Not Hispanic or Latino	7
6/20/2021	Adair	Not Hispanic or Latino	4
6/19/2021	Adair	Not Hispanic or Latino	7
6/18/2021	Adair	Not Hispanic or Latino	14
6/17/2021	Adair	Not Hispanic or Latino	9
6/16/2021	Adair	Not Hispanic or Latino	11
6/15/2021	Adair	Not Hispanic or Latino	12
6/14/2021	Adair	Not Hispanic or Latino	14
6/13/2021	Adair	Not Hispanic or Latino	9
6/12/2021	Adair	Not Hispanic or Latino	25
6/11/2021	Adair	Not Hispanic or Latino	33
6/10/2021	Adair	Not Hispanic or Latino	18
6/9/2021	Adair	Not Hispanic or Latino	22
6/8/2021	Adair	Not Hispanic or Latino	29
6/7/2021	Adair	Not Hispanic or Latino	31
6/6/2021	Adair	Not Hispanic or Latino	8
6/5/2021	Adair	Not Hispanic or Latino	22
6/4/2021	Adair	Not Hispanic or Latino	29
6/3/2021	Adair	Not Hispanic or Latino	22
6/2/2021	Adair	Not Hispanic or Latino	15
6/1/2021	Adair	Not Hispanic or Latino	8
5/31/2021	Adair	Not Hispanic or Latino	3
5/30/2021	Adair	Not Hispanic or Latino	4
5/29/2021	Adair	Not Hispanic or Latino	5
5/28/2021	Adair	Not Hispanic or Latino	24
5/27/2021	Adair	Not Hispanic or Latino	12
5/26/2021	Adair	Not Hispanic or Latino	12
5/25/2021	Adair	Not Hispanic or Latino	10
5/24/2021	Adair	Not Hispanic or Latino	17
5/23/2021	Adair	Not Hispanic or Latino	3
5/22/2021	Adair	Not Hispanic or Latino	13
5/21/2021	Adair	Not Hispanic or Latino	32
5/20/2021	Adair	Not Hispanic or Latino	11
5/19/2021	Adair	Not Hispanic or Latino	15
5/18/2021	Adair	Not Hispanic or Latino	11
5/17/2021	Adair	Not Hispanic or Latino	17
5/16/2021	Adair	Not Hispanic or Latino	7
5/15/2021	Adair	Not Hispanic or Latino	6
5/14/2021	Adair	Not Hispanic or Latino	16
5/13/2021	Adair	Not Hispanic or Latino	24
5/12/2021	Adair	Not Hispanic or Latino	18
5/11/2021	Adair	Not Hispanic or Latino	21
5/10/2021	Adair	Not Hispanic or Latino	10
5/9/2021	Adair	Not Hispanic or Latino	13
5/8/2021	Adair	Not Hispanic or Latino	12
5/7/2021	Adair	Not Hispanic or Latino	23
5/6/2021	Adair	Not Hispanic or Latino	21
5/5/2021	Adair	Not Hispanic or Latino	34
5/4/2021	Adair	Not Hispanic or Latino	20
5/3/2021	Adair	Not Hispanic or Latino	29
5/2/2021	Adair	Not Hispanic or Latino	10
5/1/2021	Adair	Not Hispanic or Latino	35
4/30/2021	Adair	Not Hispanic or Latino	48
4/29/2021	Adair	Not Hispanic or Latino	31
4/28/2021	Adair	Not Hispanic or Latino	63
4/27/2021	Adair	Not Hispanic or Latino	52
4/26/2021	Adair	Not Hispanic or Latino	42
4/25/2021	Adair	Not Hispanic or Latino	13
4/24/2021	Adair	Not Hispanic or Latino	42
4/23/2021	Adair	Not Hispanic or Latino	120
4/22/2021	Adair	Not Hispanic or Latino	51
4/21/2021	Adair	Not Hispanic or Latino	57
4/20/2021	Adair	Not Hispanic or Latino	104
4/19/2021	Adair	Not Hispanic or Latino	66
4/18/2021	Adair	Not Hispanic or Latino	19
4/17/2021	Adair	Not Hispanic or Latino	40
4/16/2021	Adair	Not Hispanic or Latino	80
4/15/2021	Adair	Not Hispanic or Latino	44
4/14/2021	Adair	Not Hispanic or Latino	36
4/13/2021	Adair	Not Hispanic or Latino	87
4/12/2021	Adair	Not Hispanic or Latino	77
4/11/2021	Adair	Not Hispanic or Latino	18
4/10/2021	Adair	Not Hispanic or Latino	84
4/9/2021	Adair	Not Hispanic or Latino	93
4/8/2021	Adair	Not Hispanic or Latino	67
4/7/2021	Adair	Not Hispanic or Latino	83
4/6/2021	Adair	Not Hispanic or Latino	83
4/5/2021	Adair	Not Hispanic or Latino	76
4/4/2021	Adair	Not Hispanic or Latino	6
4/3/2021	Adair	Not Hispanic or Latino	32
4/2/2021	Adair	Not Hispanic or Latino	165
4/1/2021	Adair	Not Hispanic or Latino	64
3/31/2021	Adair	Not Hispanic or Latino	38
3/30/2021	Adair	Not Hispanic or Latino	58
3/29/2021	Adair	Not Hispanic or Latino	74
3/28/2021	Adair	Not Hispanic or Latino	23
3/27/2021	Adair	Not Hispanic or Latino	51
3/26/2021	Adair	Not Hispanic or Latino	158
3/25/2021	Adair	Not Hispanic or Latino	719
3/24/2021	Adair	Not Hispanic or Latino	52
3/23/2021	Adair	Not Hispanic or Latino	32
3/22/2021	Adair	Not Hispanic or Latino	98
3/21/2021	Adair	Not Hispanic or Latino	34
3/20/2021	Adair	Not Hispanic or Latino	61
3/19/2021	Adair	Not Hispanic or Latino	108
3/18/2021	Adair	Not Hispanic or Latino	73
3/17/2021	Adair	Not Hispanic or Latino	84
3/16/2021	Adair	Not Hispanic or Latino	96
3/15/2021	Adair	Not Hispanic or Latino	30
3/14/2021	Adair	Not Hispanic or Latino	2
3/13/2021	Adair	Not Hispanic or Latino	11
3/12/2021	Adair	Not Hispanic or Latino	65
3/11/2021	Adair	Not Hispanic or Latino	35
3/10/2021	Adair	Not Hispanic or Latino	7
3/9/2021	Adair	Not Hispanic or Latino	11
3/8/2021	Adair	Not Hispanic or Latino	15
3/6/2021	Adair	Not Hispanic or Latino	19
3/5/2021	Adair	Not Hispanic or Latino	35
3/4/2021	Adair	Not Hispanic or Latino	24
3/3/2021	Adair	Not Hispanic or Latino	6
3/2/2021	Adair	Not Hispanic or Latino	12
3/1/2021	Adair	Not Hispanic or Latino	9
2/28/2021	Adair	Not Hispanic or Latino	1
2/27/2021	Adair	Not Hispanic or Latino	7
2/26/2021	Adair	Not Hispanic or Latino	22
2/25/2021	Adair	Not Hispanic or Latino	18
2/24/2021	Adair	Not Hispanic or Latino	300
2/23/2021	Adair	Not Hispanic or Latino	3
2/22/2021	Adair	Not Hispanic or Latino	62
2/21/2021	Adair	Not Hispanic or Latino	3
2/20/2021	Adair	Not Hispanic or Latino	1
2/19/2021	Adair	Not Hispanic or Latino	18
2/18/2021	Adair	Not Hispanic or Latino	10
2/17/2021	Adair	Not Hispanic or Latino	12
2/16/2021	Adair	Not Hispanic or Latino	5
2/15/2021	Adair	Not Hispanic or Latino	7
2/14/2021	Adair	Not Hispanic or Latino	1
2/13/2021	Adair	Not Hispanic or Latino	1
2/12/2021	Adair	Not Hispanic or Latino	28
2/11/2021	Adair	Not Hispanic or Latino	45
2/10/2021	Adair	Not Hispanic or Latino	12
2/9/2021	Adair	Not Hispanic or Latino	5
2/8/2021	Adair	Not Hispanic or Latino	58
2/6/2021	Adair	Not Hispanic or Latino	10
2/5/2021	Adair	Not Hispanic or Latino	41
2/4/2021	Adair	Not Hispanic or Latino	6
2/3/2021	Adair	Not Hispanic or Latino	7
2/2/2021	Adair	Not Hispanic or Latino	4
2/1/2021	Adair	Not Hispanic or Latino	1
1/29/2021	Adair	Not Hispanic or Latino	4
1/28/2021	Adair	Not Hispanic or Latino	4
1/27/2021	Adair	Not Hispanic or Latino	9
1/26/2021	Adair	Not Hispanic or Latino	8
1/25/2021	Adair	Not Hispanic or Latino	9
1/24/2021	Adair	Not Hispanic or Latino	2
1/23/2021	Adair	Not Hispanic or Latino	1
1/22/2021	Adair	Not Hispanic or Latino	3
1/21/2021	Adair	Not Hispanic or Latino	3
1/20/2021	Adair	Not Hispanic or Latino	6
1/19/2021	Adair	Not Hispanic or Latino	8
1/18/2021	Adair	Not Hispanic or Latino	6
1/17/2021	Adair	Not Hispanic or Latino	1
1/16/2021	Adair	Not Hispanic or Latino	1
1/15/2021	Adair	Not Hispanic or Latino	4
1/14/2021	Adair	Not Hispanic or Latino	4
1/13/2021	Adair	Not Hispanic or Latino	212
1/12/2021	Adair	Not Hispanic or Latino	9
1/11/2021	Adair	Not Hispanic or Latino	257
1/10/2021	Adair	Not Hispanic or Latino	3
1/9/2021	Adair	Not Hispanic or Latino	2
1/8/2021	Adair	Not Hispanic or Latino	10
1/7/2021	Adair	Not Hispanic or Latino	8
1/6/2021	Adair	Not Hispanic or Latino	8
1/5/2021	Adair	Not Hispanic or Latino	2
1/4/2021	Adair	Not Hispanic or Latino	4
12/29/2020	Adair	Not Hispanic or Latino	1
12/23/2020	Adair	Not Hispanic or Latino	2
12/18/2020	Adair	Not Hispanic or Latino	1
12/17/2020	Adair	Not Hispanic or Latino	1
6/26/2021	Adair	Hispanic or Latino	2
6/24/2021	Adair	Hispanic or Latino	1
6/23/2021	Adair	Hispanic or Latino	1
6/21/2021	Adair	Hispanic or Latino	1
6/20/2021	Adair	Hispanic or Latino	1
6/18/2021	Adair	Hispanic or Latino	2
6/16/2021	Adair	Hispanic or Latino	2
6/15/2021	Adair	Hispanic or Latino	1
6/13/2021	Adair	Hispanic or Latino	1
6/12/2021	Adair	Hispanic or Latino	1
6/9/2021	Adair	Hispanic or Latino	1
6/4/2021	Adair	Hispanic or Latino	1
6/3/2021	Adair	Hispanic or Latino	3
6/2/2021	Adair	Hispanic or Latino	1
5/28/2021	Adair	Hispanic or Latino	4
5/26/2021	Adair	Hispanic or Latino	1
5/17/2021	Adair	Hispanic or Latino	1
5/16/2021	Adair	Hispanic or Latino	1
5/12/2021	Adair	Hispanic or Latino	1
5/11/2021	Adair	Hispanic or Latino	4
5/8/2021	Adair	Hispanic or Latino	1
5/7/2021	Adair	Hispanic or Latino	2
5/6/2021	Adair	Hispanic or Latino	3
5/5/2021	Adair	Hispanic or Latino	3
5/4/2021	Adair	Hispanic or Latino	3
5/3/2021	Adair	Hispanic or Latino	3
5/2/2021	Adair	Hispanic or Latino	1
5/1/2021	Adair	Hispanic or Latino	1
4/29/2021	Adair	Hispanic or Latino	2
4/28/2021	Adair	Hispanic or Latino	4
4/27/2021	Adair	Hispanic or Latino	4
4/26/2021	Adair	Hispanic or Latino	2
4/24/2021	Adair	Hispanic or Latino	1
4/23/2021	Adair	Hispanic or Latino	2
4/22/2021	Adair	Hispanic or Latino	4
4/21/2021	Adair	Hispanic or Latino	3
4/20/2021	Adair	Hispanic or Latino	4
4/19/2021	Adair	Hispanic or Latino	5
4/17/2021	Adair	Hispanic or Latino	4
4/16/2021	Adair	Hispanic or Latino	3
4/15/2021	Adair	Hispanic or Latino	3
4/14/2021	Adair	Hispanic or Latino	2
4/13/2021	Adair	Hispanic or Latino	10
4/12/2021	Adair	Hispanic or Latino	3
4/11/2021	Adair	Hispanic or Latino	2
4/10/2021	Adair	Hispanic or Latino	1
4/9/2021	Adair	Hispanic or Latino	3
4/8/2021	Adair	Hispanic or Latino	5
4/7/2021	Adair	Hispanic or Latino	4
4/6/2021	Adair	Hispanic or Latino	6
4/5/2021	Adair	Hispanic or Latino	3
4/3/2021	Adair	Hispanic or Latino	1
4/2/2021	Adair	Hispanic or Latino	6
4/1/2021	Adair	Hispanic or Latino	2
3/31/2021	Adair	Hispanic or Latino	2
3/30/2021	Adair	Hispanic or Latino	3
3/29/2021	Adair	Hispanic or Latino	3
3/28/2021	Adair	Hispanic or Latino	1
3/27/2021	Adair	Hispanic or Latino	1
3/26/2021	Adair	Hispanic or Latino	7
3/25/2021	Adair	Hispanic or Latino	29
3/24/2021	Adair	Hispanic or Latino	2
3/23/2021	Adair	Hispanic or Latino	1
3/21/2021	Adair	Hispanic or Latino	1
3/20/2021	Adair	Hispanic or Latino	4
3/19/2021	Adair	Hispanic or Latino	2
3/18/2021	Adair	Hispanic or Latino	7
3/17/2021	Adair	Hispanic or Latino	2
3/14/2021	Adair	Hispanic or Latino	1
3/12/2021	Adair	Hispanic or Latino	6
3/11/2021	Adair	Hispanic or Latino	2
3/9/2021	Adair	Hispanic or Latino	1
3/7/2021	Adair	Hispanic or Latino	1
3/6/2021	Adair	Hispanic or Latino	1
3/4/2021	Adair	Hispanic or Latino	1
2/26/2021	Adair	Hispanic or Latino	4
2/25/2021	Adair	Hispanic or Latino	1
2/24/2021	Adair	Hispanic or Latino	13
2/22/2021	Adair	Hispanic or Latino	2
2/19/2021	Adair	Hispanic or Latino	3
2/17/2021	Adair	Hispanic or Latino	2
2/16/2021	Adair	Hispanic or Latino	1
2/12/2021	Adair	Hispanic or Latino	1
2/11/2021	Adair	Hispanic or Latino	2
2/8/2021	Adair	Hispanic or Latino	1
2/5/2021	Adair	Hispanic or Latino	3
1/18/2021	Adair	Hispanic or Latino	1
1/13/2021	Adair	Hispanic or Latino	2
1/11/2021	Adair	Hispanic or Latino	1
7/1/2021	Andrew	Unknown	4
6/29/2021	Andrew	Unknown	1
6/24/2021	Andrew	Unknown	1
6/19/2021	Andrew	Unknown	1
6/15/2021	Andrew	Unknown	2
6/14/2021	Andrew	Unknown	1
6/13/2021	Andrew	Unknown	1
6/11/2021	Andrew	Unknown	1
6/10/2021	Andrew	Unknown	1
6/7/2021	Andrew	Unknown	1
6/3/2021	Andrew	Unknown	1
5/26/2021	Andrew	Unknown	1
5/24/2021	Andrew	Unknown	2
5/20/2021	Andrew	Unknown	1
5/13/2021	Andrew	Unknown	1
5/12/2021	Andrew	Unknown	2
5/11/2021	Andrew	Unknown	6
5/10/2021	Andrew	Unknown	1
5/7/2021	Andrew	Unknown	10
5/6/2021	Andrew	Unknown	2
5/5/2021	Andrew	Unknown	1
5/4/2021	Andrew	Unknown	7
5/3/2021	Andrew	Unknown	1
4/30/2021	Andrew	Unknown	11
4/29/2021	Andrew	Unknown	25
4/27/2021	Andrew	Unknown	15
4/23/2021	Andrew	Unknown	14
4/22/2021	Andrew	Unknown	6
4/21/2021	Andrew	Unknown	5
4/20/2021	Andrew	Unknown	17
4/16/2021	Andrew	Unknown	20
4/15/2021	Andrew	Unknown	21
4/14/2021	Andrew	Unknown	49
4/13/2021	Andrew	Unknown	18
4/12/2021	Andrew	Unknown	6
4/9/2021	Andrew	Unknown	8
4/8/2021	Andrew	Unknown	15
4/7/2021	Andrew	Unknown	8
4/6/2021	Andrew	Unknown	12
4/5/2021	Andrew	Unknown	1
4/2/2021	Andrew	Unknown	20
4/1/2021	Andrew	Unknown	32
3/31/2021	Andrew	Unknown	20
3/30/2021	Andrew	Unknown	16
3/29/2021	Andrew	Unknown	7
3/26/2021	Andrew	Unknown	13
3/25/2021	Andrew	Unknown	13
3/22/2021	Andrew	Unknown	2
3/19/2021	Andrew	Unknown	1
3/17/2021	Andrew	Unknown	9
3/16/2021	Andrew	Unknown	7
3/15/2021	Andrew	Unknown	3
3/13/2021	Andrew	Unknown	1
3/12/2021	Andrew	Unknown	21
3/11/2021	Andrew	Unknown	16
3/10/2021	Andrew	Unknown	9
3/9/2021	Andrew	Unknown	10
3/5/2021	Andrew	Unknown	1
3/4/2021	Andrew	Unknown	3
3/3/2021	Andrew	Unknown	2
3/2/2021	Andrew	Unknown	7
3/1/2021	Andrew	Unknown	4
2/26/2021	Andrew	Unknown	8
2/25/2021	Andrew	Unknown	11
2/24/2021	Andrew	Unknown	2
2/23/2021	Andrew	Unknown	10
2/22/2021	Andrew	Unknown	3
2/19/2021	Andrew	Unknown	6
2/18/2021	Andrew	Unknown	7
2/17/2021	Andrew	Unknown	7
2/16/2021	Andrew	Unknown	7
2/15/2021	Andrew	Unknown	4
2/12/2021	Andrew	Unknown	13
2/11/2021	Andrew	Unknown	17
2/10/2021	Andrew	Unknown	6
2/6/2021	Andrew	Unknown	1
2/5/2021	Andrew	Unknown	2
2/4/2021	Andrew	Unknown	10
2/3/2021	Andrew	Unknown	4
2/1/2021	Andrew	Unknown	1
1/29/2021	Andrew	Unknown	1
1/28/2021	Andrew	Unknown	16
1/27/2021	Andrew	Unknown	24
1/26/2021	Andrew	Unknown	17
1/22/2021	Andrew	Unknown	9
1/21/2021	Andrew	Unknown	8
1/20/2021	Andrew	Unknown	8
1/18/2021	Andrew	Unknown	1
1/15/2021	Andrew	Unknown	3
1/14/2021	Andrew	Unknown	3
1/13/2021	Andrew	Unknown	6
1/6/2021	Andrew	Unknown	1
7/7/2021	Andrew	Not Hispanic or Latino	2
7/6/2021	Andrew	Not Hispanic or Latino	8
7/5/2021	Andrew	Not Hispanic or Latino	2
7/2/2021	Andrew	Not Hispanic or Latino	4
7/1/2021	Andrew	Not Hispanic or Latino	8
6/30/2021	Andrew	Not Hispanic or Latino	4
6/29/2021	Andrew	Not Hispanic or Latino	8
6/28/2021	Andrew	Not Hispanic or Latino	2
6/27/2021	Andrew	Not Hispanic or Latino	3
6/26/2021	Andrew	Not Hispanic or Latino	2
6/25/2021	Andrew	Not Hispanic or Latino	17
6/24/2021	Andrew	Not Hispanic or Latino	11
6/23/2021	Andrew	Not Hispanic or Latino	8
6/22/2021	Andrew	Not Hispanic or Latino	5
6/21/2021	Andrew	Not Hispanic or Latino	2
6/20/2021	Andrew	Not Hispanic or Latino	2
6/19/2021	Andrew	Not Hispanic or Latino	6
6/18/2021	Andrew	Not Hispanic or Latino	21
6/17/2021	Andrew	Not Hispanic or Latino	14
6/16/2021	Andrew	Not Hispanic or Latino	8
6/15/2021	Andrew	Not Hispanic or Latino	6
6/14/2021	Andrew	Not Hispanic or Latino	8
6/13/2021	Andrew	Not Hispanic or Latino	6
6/12/2021	Andrew	Not Hispanic or Latino	3
6/11/2021	Andrew	Not Hispanic or Latino	21
6/10/2021	Andrew	Not Hispanic or Latino	11
6/9/2021	Andrew	Not Hispanic or Latino	4
6/8/2021	Andrew	Not Hispanic or Latino	6
6/7/2021	Andrew	Not Hispanic or Latino	8
6/6/2021	Andrew	Not Hispanic or Latino	2
6/5/2021	Andrew	Not Hispanic or Latino	3
6/4/2021	Andrew	Not Hispanic or Latino	23
6/3/2021	Andrew	Not Hispanic or Latino	9
6/2/2021	Andrew	Not Hispanic or Latino	2
6/1/2021	Andrew	Not Hispanic or Latino	9
5/31/2021	Andrew	Not Hispanic or Latino	1
5/29/2021	Andrew	Not Hispanic or Latino	2
5/28/2021	Andrew	Not Hispanic or Latino	7
5/27/2021	Andrew	Not Hispanic or Latino	6
5/25/2021	Andrew	Not Hispanic or Latino	11
5/24/2021	Andrew	Not Hispanic or Latino	4
5/23/2021	Andrew	Not Hispanic or Latino	4
5/21/2021	Andrew	Not Hispanic or Latino	20
5/20/2021	Andrew	Not Hispanic or Latino	8
5/19/2021	Andrew	Not Hispanic or Latino	6
5/18/2021	Andrew	Not Hispanic or Latino	2
5/17/2021	Andrew	Not Hispanic or Latino	8
5/16/2021	Andrew	Not Hispanic or Latino	1
5/15/2021	Andrew	Not Hispanic or Latino	3
5/14/2021	Andrew	Not Hispanic or Latino	17
5/13/2021	Andrew	Not Hispanic or Latino	6
5/12/2021	Andrew	Not Hispanic or Latino	8
5/11/2021	Andrew	Not Hispanic or Latino	35
5/10/2021	Andrew	Not Hispanic or Latino	12
5/9/2021	Andrew	Not Hispanic or Latino	3
5/8/2021	Andrew	Not Hispanic or Latino	3
5/7/2021	Andrew	Not Hispanic or Latino	42
5/6/2021	Andrew	Not Hispanic or Latino	13
5/5/2021	Andrew	Not Hispanic or Latino	25
5/4/2021	Andrew	Not Hispanic or Latino	40
5/3/2021	Andrew	Not Hispanic or Latino	15
5/1/2021	Andrew	Not Hispanic or Latino	7
4/30/2021	Andrew	Not Hispanic or Latino	47
4/29/2021	Andrew	Not Hispanic or Latino	33
4/28/2021	Andrew	Not Hispanic or Latino	17
4/27/2021	Andrew	Not Hispanic or Latino	31
4/26/2021	Andrew	Not Hispanic or Latino	9
4/25/2021	Andrew	Not Hispanic or Latino	1
4/24/2021	Andrew	Not Hispanic or Latino	10
4/23/2021	Andrew	Not Hispanic or Latino	49
4/22/2021	Andrew	Not Hispanic or Latino	30
4/21/2021	Andrew	Not Hispanic or Latino	18
4/20/2021	Andrew	Not Hispanic or Latino	57
4/19/2021	Andrew	Not Hispanic or Latino	9
4/17/2021	Andrew	Not Hispanic or Latino	4
4/16/2021	Andrew	Not Hispanic or Latino	103
4/15/2021	Andrew	Not Hispanic or Latino	36
4/14/2021	Andrew	Not Hispanic or Latino	69
4/13/2021	Andrew	Not Hispanic or Latino	44
4/12/2021	Andrew	Not Hispanic or Latino	43
4/10/2021	Andrew	Not Hispanic or Latino	12
4/9/2021	Andrew	Not Hispanic or Latino	82
4/8/2021	Andrew	Not Hispanic or Latino	29
4/7/2021	Andrew	Not Hispanic or Latino	34
4/6/2021	Andrew	Not Hispanic or Latino	52
4/5/2021	Andrew	Not Hispanic or Latino	21
4/3/2021	Andrew	Not Hispanic or Latino	30
4/2/2021	Andrew	Not Hispanic or Latino	105
4/1/2021	Andrew	Not Hispanic or Latino	26
3/31/2021	Andrew	Not Hispanic or Latino	29
3/30/2021	Andrew	Not Hispanic or Latino	65
3/29/2021	Andrew	Not Hispanic or Latino	25
3/28/2021	Andrew	Not Hispanic or Latino	1
3/27/2021	Andrew	Not Hispanic or Latino	7
3/26/2021	Andrew	Not Hispanic or Latino	23
3/25/2021	Andrew	Not Hispanic or Latino	20
3/24/2021	Andrew	Not Hispanic or Latino	6
3/23/2021	Andrew	Not Hispanic or Latino	5
3/22/2021	Andrew	Not Hispanic or Latino	6
3/21/2021	Andrew	Not Hispanic or Latino	1
3/20/2021	Andrew	Not Hispanic or Latino	3
3/19/2021	Andrew	Not Hispanic or Latino	13
3/18/2021	Andrew	Not Hispanic or Latino	10
3/17/2021	Andrew	Not Hispanic or Latino	18
3/16/2021	Andrew	Not Hispanic or Latino	18
3/15/2021	Andrew	Not Hispanic or Latino	18
3/14/2021	Andrew	Not Hispanic or Latino	1
3/13/2021	Andrew	Not Hispanic or Latino	19
3/12/2021	Andrew	Not Hispanic or Latino	40
3/11/2021	Andrew	Not Hispanic or Latino	23
3/10/2021	Andrew	Not Hispanic or Latino	34
3/9/2021	Andrew	Not Hispanic or Latino	96
3/8/2021	Andrew	Not Hispanic or Latino	10
3/7/2021	Andrew	Not Hispanic or Latino	1
3/6/2021	Andrew	Not Hispanic or Latino	20
3/5/2021	Andrew	Not Hispanic or Latino	45
3/4/2021	Andrew	Not Hispanic or Latino	33
3/3/2021	Andrew	Not Hispanic or Latino	51
