zip,count
64101,29
64102,34
64105,587
64106,809
64108,959
64109,787
64110,1234
64111,1507
64112,734
64113,756
64114,1743
64116,1081
64117,1186
64118,2108
64119,1763
64120,71
64123,1148
64124,1322
64125,224
64126,655
64127,1652
64128,966
64129,660
64130,1745
64131,1702
64132,964
64133,1377
64134,1803
64136,204
64137,900
64138,1055
64139,292
64145,432
64146,93
64147,27
64149,36
64151,1776
64152,617
64153,488
64154,1173
64155,2300
64156,612
64157,1981
64158,565
64161,18
64163,24
64164,6
64165,14
64166,19
64167,19
