zip,count
66206,730
66083,0
66202,1252
66204,1495
66211,357
66209,1331
66226,1168
66219,930
66213,2136
66210,1257
66224,944
66215,1846
66214,804
66212,2258
66227,596
66223,1575
66031,14
66013,88
66221,1453
66062,5602
66083,408
66217,364
66216,1768
66203,1332
66205,954
66085,610
66025,6
66218,708
66220,638
66018,470
66021,129
66207,1012
66208,1528
66030,1623
66061,5290
