zip,count
64101,66
64102,72
64105,1246
64106,1585
64108,2215
64109,2006
64110,2778
64111,3240
64112,1376
64113,1808
64114,3848
64116,2328
64117,2606
64118,4535
64119,3977
64120,155
64123,2179
64124,2414
64125,433
64126,1292
64127,3552
64128,2446
64129,1704
64130,4353
64131,4099
64132,2740
64133,3153
64134,4334
64136,424
64137,1867
64138,2388
64139,580
64145,925
64146,206
64147,72
64149,69
64151,3970
64152,1413
64153,1014
64154,2439
64155,5171
64156,1442
64157,4109
64158,1197
64161,37
64163,67
64164,24
64165,43
64166,41
64167,36
