zip,count
60000,41
60001,6
60002,2285
60004,4455
60005,2846
60006,16
60007,3418
60008,2745
60009,21
60010,3773
60011,11
60012,1103
60013,2323
60014,4861
60015,2182
60016,7248
60017,18
60018,3925
60019,11
60020,1043
60021,444
60022,553
60025,3711
60026,1166
60029,53
60030,3083
60031,3646
60033,1664
60034,202
60035,2066
60036,9
60038,8
60039,8
60040,700
60041,939
60042,813
60043,196
60044,826
60045,1561
60046,3435
60047,3876
60048,2288
60050,3387
60051,2552
60053,2602
60055,10
60056,5558
60057,6
60060,3981
60061,2075
60062,3602
60063,10
60064,3262
60065,10
60067,3796
60068,3964
60069,723
60070,1640
60071,359
60072,71
60073,7952
60074,3989
60075,18
60076,3612
60077,2977
60078,12
60079,50
60081,978
60082,17
60083,989
60084,1700
60085,10407
60086,11
60087,3943
60088,826
60089,3251
60090,4628
60091,1979
60093,1797
60094,7
60095,8
60096,664
60097,1028
60098,3646
60099,3959
60101,5507
60102,3209
60103,4772
60104,2734
60105,12
60106,2638
60107,5046
60108,2920
60109,69
60110,5093
60111,26
60112,514
60113,46
60115,4823
60116,10
60118,1590
60119,1116
60120,7021
60121,33
60123,6179
60124,2670
60125,7
60126,5230
60129,25
60130,1381
60131,2748
60133,5281
60134,2947
60135,883
60136,1002
60137,3817
60138,16
60139,4355
60140,2344
60141,81
60142,2778
60143,1368
60144,11
60145,248
60146,286
60147,19
60148,5307
60150,142
60151,383
60152,1305
60153,2977
60154,1906
60155,1004
60156,2981
60157,263
60159,46
60160,3896
60161,15
60162,1597
60163,711
60164,3442
60165,779
60168,21
60169,3448
60170,7
60171,1363
60172,2776
60173,1114
60174,3555
60175,2937
60176,1632
60177,3131
60178,2230
60180,148
60181,3367
60183,11
60184,273
60185,4922
60186,13
60187,2731
60188,5128
60189,2765
60190,1308
60191,1901
60192,1253
60193,3666
60194,1784
60195,381
60196,8
60201,2973
60202,2368
60203,309
60204,12
60208,17
60301,239
60302,2290
60303,18
60304,1139
60305,893
60401,969
60402,9352
60403,2120
60404,2426
60406,3392
60407,166
60408,720
60409,4321
60410,1629
60411,6773
60412,13
60415,1479
60416,1253
60417,1731
60418,1144
60419,2505
60420,636
60421,378
60422,923
60423,3993
60424,241
60425,1056
60426,3177
60428,1336
60429,1689
60430,1948
60431,3674
60432,2912
60433,2221
60434,506
60435,6309
60436,2438
60437,19
60438,3763
60439,2805
60440,6581
60441,4155
60442,1415
60443,2352
60444,192
60445,2241
60446,5360
60447,1800
60448,2929
60449,943
60450,2709
60451,4069
60452,3350
60453,6644
60454,22
60455,2051
60456,452
60457,1514
60458,1666
60459,3664
60460,188
60461,413
60462,4542
60463,1771
60464,1012
60465,2069
60466,2509
60467,2858
60468,767
60469,878
60470,53
60471,1440
60472,487
60473,2820
60474,105
60475,1013
60476,284
60477,4300
60478,1914
60479,69
60480,591
60481,1420
60482,1095
60484,689
60487,3078
60490,2217
60491,2646
60499,6
60501,1541
60502,1985
60503,1516
60504,4001
60505,9459
60506,7285
60507,39
60510,2656
60511,155
60512,117
60513,2074
60514,1051
60515,2682
60516,2639
60517,3361
60518,335
60519,17
60520,265
60521,1940
60522,7
60523,1080
60524,6
60525,3585
60526,1334
60527,3163
60528,10
60530,49
60531,196
60532,2384
60534,1385
60536,17
60537,60
60538,3579
60539,35
60540,3497
60541,347
60542,1946
60543,4130
60544,3166
60545,1813
60546,1703
60548,1440
60549,73
60550,144
60551,804
60552,469
60553,55
60554,1189
60555,1594
60556,149
60557,9
60558,1460
60559,2523
60560,2943
60561,2171
60563,3687
60564,3836
60565,3209
60567,23
60585,2606
60586,6024
60598,15
60601,1205
60602,123
60603,89
60604,127
60605,2192
60606,375
60607,2965
60608,8654
60609,7774
60610,3998
60611,2576
60612,3928
60613,4345
60614,6568
60615,2764
60616,4193
60617,8856
60618,9280
60619,5489
60620,6238
60621,2650
60622,5744
60623,11608
60624,3741
60625,7823
60626,4756
60627,9
60628,6140
60629,18198
60630,6294
60631,3520
60632,13912
60633,1980
60634,11156
60635,7
60636,3706
60637,4125
60638,8502
60639,15207
60640,5427
60641,9625
60642,2261
60643,4992
60644,4963
60645,5197
60646,3045
60647,9633
60649,3985
60650,22
60651,8442
60652,5802
60653,3095
60654,2338
60655,3697
60656,3529
60657,6154
60659,4484
60660,3215
60661,979
60680,54
60690,21
60706,3366
60707,5983
60712,2414
60714,4137
60803,2534
60804,13884
60805,2342
60806,6
60827,2315
60901,5640
60910,47
60911,180
60912,49
60913,198
60914,4126
60915,1448
60917,61
60918,93
60919,50
60920,18
60921,186
60922,296
60924,243
60926,6
60927,310
60928,97
60929,89
60930,123
60931,69
60932,15
60933,34
60934,38
60935,151
60936,697
60938,333
60940,345
60941,262
60942,887
60944,8
60945,15
60946,47
60948,203
60949,61
60950,1599
60951,83
60952,98
60953,290
60954,835
60955,299
60956,23
60957,917
60958,193
60959,162
60960,99
60961,74
60962,66
60963,258
60964,607
60966,151
60967,7
60968,53
60969,13
60970,807
60973,67
60974,18
61001,105
61006,185
61007,49
61008,4855
61010,1116
61011,333
61012,254
61013,79
61014,95
61015,99
61016,618
61018,118
61019,390
61020,432
61021,3056
61024,304
61025,323
61028,145
61030,275
61031,222
61032,3374
61036,549
61037,22
61038,152
61039,100
61041,116
61042,60
61043,18
61044,23
61046,311
61047,187
61048,518
61049,37
61050,34
61051,168
61052,149
61053,254
61054,411
61059,25
61060,135
61061,827
61062,216
61063,452
61064,461
61065,1377
61067,78
61068,2022
61070,135
61071,1763
61072,1467
61073,2514
61074,469
61075,102
61077,10
61078,144
61080,1421
61081,2997
61084,385
61085,385
61087,170
61088,744
61089,78
61091,8
61101,2413
61102,2470
61103,2947
61104,2233
61105,15
61107,3981
61108,3979
