zip,count
3,7
60000,27
60002,839
60004,1861
60005,1230
60006,7
60007,1494
60008,1416
60009,12
60010,1559
60012,440
60013,858
60014,2058
60015,967
60016,3245
60017,9
60018,1948
60020,423
60021,163
60022,200
60025,1608
60026,552
60029,30
60030,1233
60031,1692
60033,938
60034,82
60035,947
60036,6
60040,394
60041,368
60042,320
60043,97
60044,389
60045,624
60046,1337
60047,1674
60048,897
60050,1375
60051,1019
60053,1118
60056,2463
60060,1678
60061,847
60062,1557
60063,8
60064,1870
60067,1749
60068,1493
60069,355
60070,807
60071,156
60072,28
60073,3833
60074,1917
60076,1681
60077,1285
60078,9
60079,26
60081,391
60083,459
60084,719
60085,6100
60087,2143
60088,670
60089,1297
60090,2182
60091,726
60093,747
60095,7
60096,294
60097,442
60098,1686
60099,2013
60101,2778
60102,1367
60103,2065
60104,1402
60106,1483
60107,2471
60108,1309
60109,43
60110,2605
60111,15
60112,233
60113,21
60115,2090
60118,660
60119,456
60120,3677
60121,20
60123,2983
60124,1151
60126,2163
60129,10
60130,649
60131,1340
60133,2559
60134,1308
60135,398
60136,371
60137,1583
60138,6
60139,2179
60140,879
60141,40
60142,1179
60143,648
60144,7
60145,114
60146,138
60147,8
60148,2112
60150,59
60151,166
60152,553
60153,1403
60154,795
60155,475
60156,1218
60157,117
60159,10
60160,2197
60161,7
60162,550
60163,366
60164,1678
60165,453
60168,11
60169,1600
60171,611
60172,1235
60173,478
60174,1619
60175,1306
60176,758
60177,1495
60178,989
60180,48
60181,1435
60183,8
60184,131
60185,2463
60186,9
60187,1068
60188,2268
60189,1124
60190,510
60191,875
60192,525
60193,1533
60194,779
60195,144
60201,1169
60202,1088
60203,150
60204,10
60208,15
60301,110
60302,1020
60303,11
60304,460
60305,366
60401,422
60402,5119
60403,989
60404,963
60406,1770
60407,65
60408,307
60409,2010
60410,624
60411,3201
60415,719
60416,523
60417,849
60418,509
60419,1113
60420,253
60421,141
60422,412
60423,1881
60424,96
60425,478
60426,1367
60428,595
60429,738
60430,876
60431,1499
60432,1488
60433,1056
60434,320
60435,2993
60436,1084
60438,1817
60439,1125
60440,2934
60441,1707
60442,527
60443,1156
60444,75
60445,973
60446,2380
60447,668
60448,1210
60449,405
60450,1090
60451,1611
60452,1411
60453,3333
60454,13
