zip,count
60000,44
60001,9
60002,4814
60004,10209
60005,5864
60006,35
60007,6621
60008,5183
60009,30
60010,8107
60011,20
60012,2683
60013,5943
60014,12253
60015,5120
60016,13395
60017,30
60018,6970
60019,19
60020,2132
60021,1236
60022,1445
60025,8640
60026,2818
60029,107
60030,6905
60031,7776
60033,3764
60034,439
60035,4950
60036,9
60038,15
60039,22
60040,1197
60041,1934
60042,1672
60043,507
60044,1821
60045,3503
60046,7176
60047,7757
60048,4999
60050,8731
60051,5463
60053,5381
60055,25
60056,11718
60057,11
60058,7
60059,6
60060,7594
60061,4749
60062,8672
60063,11
60064,5438
60065,24
60067,7644
60068,8891
60069,1610
60070,3443
60071,718
60072,193
60073,14856
60074,7620
60075,28
60076,7628
60077,6544
60078,25
60079,101
60080,9
60081,1888
60082,22
60083,2039
60084,3233
60085,18197
60086,30
60087,6950
60088,1354
60089,7721
60090,8876
60091,4777
60092,8
60093,4036
60094,12
60095,15
60096,1357
60097,2660
60098,7704
60099,7693
60101,10606
60102,7185
60103,9715
60104,5035
60105,24
60106,4893
60107,9181
60108,5751
60109,165
60110,9769
60111,52
60112,1165
60113,81
60115,9546
60116,20
60118,3330
60119,2371
60120,12077
60121,53
60123,11568
60124,5520
60125,10
60126,10672
60129,63
60130,2792
60131,4721
60132,10
60133,9551
60134,6558
60135,1820
60136,2288
60137,8587
60138,22
60139,7968
60140,6080
60141,165
60142,6834
60143,2609
60144,23
60145,538
60146,642
60147,41
60148,11678
60150,363
60151,822
60152,2744
60153,5397
60154,3819
60155,1792
60156,7245
60157,587
60159,84
60160,6925
60161,29
60162,2763
60163,1315
60164,5987
60165,1216
60168,27
60169,6746
60170,10
60171,2394
60172,5567
60173,2266
60174,7110
60175,5960
60176,2884
60177,6300
60178,4901
60179,7
60180,299
60181,7146
60183,16
60184,501
60185,8658
60186,18
60187,6557
60188,10242
60189,6522
60190,2576
60191,3521
60192,2479
60193,7958
60194,4092
60195,851
60196,14
60199,7
60201,7378
60202,5350
60203,754
60204,22
60208,68
60301,553
60302,5466
60303,56
60304,2810
60305,1992
60401,1782
60402,15729
60403,4636
60404,4660
60406,5259
60407,329
60408,1370
60409,7799
60410,3136
60411,12506
60412,34
60415,3368
60416,2428
60417,3089
60418,2168
60419,5076
60420,1178
60421,827
60422,2119
60423,7658
60424,487
60425,2019
60426,5627
60428,2726
60429,3744
60430,4393
60431,7123
60432,4841
60433,3992
60434,774
60435,11915
60436,4682
60437,45
60438,6780
60439,5328
60440,12192
60441,7977
60442,2948
60443,4270
60444,361
60445,4084
60446,9800
60447,3501
60448,5627
60449,1808
60450,5077
60451,8522
60452,6239
60453,13000
60454,53
60455,3761
60456,903
60457,2972
60458,3154
60459,6492
60460,376
60461,781
60462,8656
60463,3432
60464,2008
60465,3724
60466,4445
60467,5253
60468,1437
60469,1397
60470,118
60471,2634
60472,1051
60473,5753
60474,171
60475,1827
60476,503
60477,8181
60478,3772
60479,141
60480,1168
60481,2496
60482,2226
60484,1328
60485,13
60487,5858
60488,10
60490,4347
60491,4592
60499,12
60501,2602
60502,4205
60503,3294
60504,8345
60505,15550
60506,13762
60507,68
60508,8
60510,5922
60511,352
60512,242
60513,4075
60514,2067
60515,5875
60516,5734
60517,7028
60518,763
60519,33
60520,640
60521,3591
60522,29
60523,2000
60524,10
60525,7063
60526,2797
60527,6218
60528,11
60530,127
60531,533
60532,5285
60534,2431
60535,6
60536,35
60537,132
60538,7147
60539,84
60540,7823
60541,716
60542,4324
60543,8758
60544,6177
60545,3749
60546,3418
60548,2972
60549,153
60550,331
60551,1783
60552,934
60553,135
60554,2498
60555,3134
60556,373
60557,17
60558,2865
60559,5075
60560,6400
60561,4541
60562,6
60563,7524
60564,8347
60565,7140
60566,17
60567,50
60569,8
60585,5502
60586,11719
60598,30
60601,4105
60602,338
60603,261
60604,345
60605,4871
60606,843
60607,6119
60608,15135
60609,13020
60610,7814
60611,5592
60612,7510
60613,9206
60614,13116
60615,6169
60616,8132
60617,15048
60618,17654
60619,10640
60620,11925
60621,5268
60622,11022
60623,19125
60624,7052
60625,15233
60626,8987
60627,22
60628,12071
60629,27627
60630,11800
60631,6935
60632,20876
60633,3360
60634,19203
60635,30
60636,6652
60637,8653
60638,14451
60639,24082
60640,11008
60641,16483
60642,4232
60643,9597
60644,9359
60645,9753
60646,5954
60647,17179
60648,14
60649,7734
60650,39
60651,14021
60652,10063
60653,6212
60654,4315
60655,6839
60656,6296
60657,13223
60658,8
60659,8212
60660,6519
60661,2130
60663,10
60664,18
60665,8
60666,10
60673,9
60678,9
60680,127
60684,7
60690,47
60699,9
60706,6112
60707,10555
60712,4576
60714,7725
60803,4665
60804,20782
60805,4560
60806,8
60827,4716
60901,9881
60910,100
60911,333
60912,84
60913,343
60914,7664
60915,2791
60917,109
60918,229
60919,132
60920,29
60921,411
60922,532
60924,458
60926,10
60927,543
60928,161
60929,159
60930,277
60931,131
60932,38
60933,76
60934,86
60935,268
60936,1372
60938,606
60939,14
60940,665
60941,512
60942,2263
60944,23
60945,30
60946,102
60948,408
60949,170
60950,2853
60951,154
60952,212
60953,593
60954,1457
60955,551
60956,34
60957,1832
60958,374
60959,295
60960,271
60961,145
60962,135
60963,636
60964,1102
60966,304
60967,21
60968,100
60969,18
60970,1601
60973,151
60974,43
61001,220
61006,391
61007,111
61008,8694
61010,2320
61011,641
61012,583
61013,165
61014,215
61015,219
61016,1235
61018,252
61019,785
61020,995
61021,6058
61024,644
61025,587
61027,13
61028,361
61030,658
61031,416
61032,7632
61036,1127
61037,33
61038,280
61039,202
61041,314
61042,102
61043,43
61044,54
61046,676
61047,415
61048,1028
61049,86
61050,87
61051,332
61052,309
61053,572
61054,831
61059,48
61060,315
61061,1586
61062,484
61063,921
61064,870
61065,2858
61067,168
61068,4114
61070,279
61071,3738
61072,2824
61073,5087
61074,931
61075,218
61077,20
61078,308
61079,18
61080,2829
61081,6132
61084,856
61085,709
61087,354
61088,1649
61089,205
61091,21
61101,5052
61102,4853
61103,6107
61104,4527
61105,28
61106,12
61107,8257
61108,8093
61109,7445
61110,26
61111,6211
61112,37
61114,4056
61115,5989
61125,31
61126,28
61132,16
61201,8230
61204,41
61230,261
61231,1535
61232,322
61233,112
61234,318
61235,311
61236,27
61238,710
61239,224
61240,1340
61241,1814
61242,239
61243,36
61244,5627
61250,630
61251,89
61252,1296
61254,2590
61256,447
61257,254
61258,33
61259,173
61260,167
61261,207
61262,168
61263,175
61264,2287
61265,9961
61266,27
61270,1792
61272,295
61273,771
61274,69
61275,1060
61276,35
61277,880
61278,98
61279,227
61281,648
61282,1955
61283,308
61284,471
61285,1286
61301,2594
61310,874
61311,56
61312,84
61313,72
61314,184
61315,66
61316,77
61317,92
61318,140
61319,301
61320,127
61321,82
61322,410
61323,27
61324,20
61325,221
61326,477
61327,237
61328,11
61329,319
61330,359
61332,23
61333,119
61334,165
61335,99
61336,100
61337,131
61338,93
61340,72
61341,1981
61342,2679
61344,87
61345,177
61346,12
61348,1171
61349,241
61350,5995
61353,294
61354,2747
61356,2637
61358,97
61359,75
61360,711
61361,310
61362,1629
61363,53
61364,5206
61367,175
61368,245
61369,452
61370,260
61371,16
61372,46
61373,481
61374,21
61375,187
61376,529
61377,336
61378,85
61379,319
61401,7813
61402,656
61410,991
61411,88
61412,299
61413,199
61414,151
61415,384
61416,59
61417,43
61418,99
61419,26
61420,234
61421,341
61422,841
61423,127
61424,18
61425,61
61426,19
61427,548
61428,243
61430,167
61431,81
61432,153
61433,32
61434,742
61435,30
61436,161
61437,121
61438,142
61439,58
61440,157
61441,227
61442,150
61443,4089
61447,204
61448,880
61449,110
61450,371
61451,73
61452,69
61453,133
61454,113
61455,4706
61458,130
61459,66
61460,49
61462,2642
61465,257
61466,80
61467,223
61468,12
61469,338
61470,132
61471,20
61472,118
61473,389
61474,58
61475,49
61476,81
61477,121
61478,53
61479,33
61480,265
61482,198
61483,539
61484,178
61485,133
61486,329
61488,226
61489,201
61490,210
61491,523
61501,495
61516,173
61517,782
61519,64
61520,5358
61523,2436
61524,65
61525,2785
61526,283
61528,783
61529,692
61530,1653
61531,855
61532,128
61533,557
61534,472
61535,462
61536,762
61537,663
61539,40
61540,637
61541,32
61542,937
61543,20
61544,140
61545,164
61546,1095
61547,1014
61548,3398
61550,5098
61552,44
61553,53
61554,11355
61555,34
61559,736
61560,105
61561,703
61562,19
61563,114
61564,288
61565,298
61567,140
61568,1286
61569,265
61570,444
61571,6578
61572,251
61601,54
61602,250
61603,4114
61604,8033
61605,3540
61606,1298
61607,2922
61610,1317
61611,6401
61612,38
61614,7008
61615,5820
61616,1609
61625,86
61636,12
61701,9414
61702,56
61704,9738
61705,4090
61720,76
61721,176
61722,142
61723,700
61724,135
61725,439
61726,719
61727,2580
61728,423
61729,344
61730,95
61731,70
61732,616
61733,312
61734,616
61735,74
61736,649
61737,126
61738,1250
61739,1344
61740,450
61741,490
61742,287
61743,71
61744,495
61745,1323
61747,415
61748,824
61749,139
61750,24
61751,31
61752,1174
61753,835
61754,310
61755,1353
61756,539
61759,484
61760,689
61761,15862
61764,4363
61769,160
61770,287
61771,202
61772,108
61773,151
61774,223
61775,112
61776,361
61777,218
61778,176
61790,699
61801,6498
61802,5679
61803,38
61810,84
61811,228
61812,107
61813,470
61814,465
61815,69
61816,147
61817,953
61818,472
61820,14121
61821,8260
61822,6556
61824,36
61825,8
61826,59
61830,108
61831,47
61832,11889
61833,743
61834,3520
61839,111
61840,305
61841,429
61842,863
61843,825
61844,321
61845,99
61846,1646
61847,476
61848,96
61849,472
61850,163
61851,75
61852,57
61853,4278
61854,409
61855,39
61856,2019
61857,66
61858,1100
61859,368
61862,175
61863,284
61864,596
61865,455
61866,4878
61870,415
61871,89
61872,178
61873,2059
61874,2259
61875,187
61876,248
61877,509
61878,357
61880,1580
61882,146
61883,1708
61884,306
61910,1590
61911,995
61912,320
61913,452
61914,511
61917,185
61919,248
61920,6525
61924,688
61925,257
61928,203
61929,178
61930,181
61931,330
61932,108
61933,302
61936,74
61937,540
61938,7045
61940,61
61941,21
61942,370
61943,434
61944,3530
61949,55
61951,2309
61953,2158
61955,65
61956,992
61957,535
62001,433
62002,8747
62006,204
62009,449
62010,3388
62011,92
62012,1742
62013,153
62014,1002
62015,143
62016,1045
62017,292
62018,1011
62019,99
62021,207
62022,262
62024,2291
62025,8410
62026,273
62027,89
62028,169
62030,20
62031,231
62032,222
62033,1375
62034,3416
62035,4676
62036,203
62037,425
62040,9867
62044,457
62045,139
62046,238
62047,527
62048,312
62049,3629
62050,116
62051,253
62052,3895
62053,187
62054,195
62056,2685
62058,188
62059,100
62060,869
62061,437
62062,2028
62063,277
62065,29
62067,694
62069,882
62070,12
62074,239
62075,975
62076,22
62077,68
62079,89
62080,709
62081,65
62082,688
62083,66
62084,426
62085,54
62086,351
62087,511
62088,1975
62089,121
62090,202
62091,96
62092,924
62093,124
62094,264
62095,2979
62097,687
62201,1318
62202,34
62203,1557
62204,1002
62205,1522
62206,3251
62207,1543
62208,4199
62214,257
62215,492
62216,993
62217,237
62218,446
62219,319
62220,4859
62221,7077
62222,46
62223,4044
62225,792
62226,7504
62230,2209
62231,2317
62232,2021
62233,2488
62234,7995
62236,3537
62237,724
62238,171
62239,1143
62240,382
62241,296
62242,351
62243,1565
62244,236
62245,533
62246,2550
62248,126
62249,4492
62250,135
62253,168
62254,1565
62255,216
62256,26
62257,735
62258,2597
62259,1001
62260,1663
62261,54
62262,480
62263,1342
62264,817
62265,1291
62266,67
62268,148
62269,8609
62271,461
62272,480
62273,91
62274,3109
62275,847
62277,360
62278,2222
62279,21
62280,88
62281,870
62282,141
62284,159
62285,1233
62286,1779
62288,886
62289,122
62292,199
62293,1305
62294,4318
62295,373
62297,101
62298,4906
62301,11163
62305,6080
62306,17
62311,199
62312,695
62313,90
62314,175
62316,209
62319,30
62320,800
62321,978
62323,59
62324,386
62325,131
62326,570
62330,320
62334,36
62336,20
62338,419
62339,306
62340,459
62341,835
62343,204
62344,23
62345,99
62346,58
62347,652
62348,12
62349,198
62351,576
62352,62
62353,2075
62354,302
62355,206
62356,180
62357,82
62358,134
62359,40
62360,546
62361,114
62362,107
62363,2096
62365,178
62366,426
62367,265
62370,146
62373,91
62374,57
62375,93
62376,392
62378,187
62379,471
62380,92
62401,5949
62410,280
62411,1385
62413,122
62414,525
62417,999
62418,623
62419,109
62420,1419
62421,210
62422,323
62423,155
62424,646
62425,178
62426,274
62427,364
62428,933
62431,306
62432,203
62433,260
62434,89
62436,178
62438,103
62439,2199
62440,348
62441,2223
62442,706
62443,452
62444,116
62445,271
62446,115
62447,1030
62448,1701
62449,890
62450,4007
62451,586
62452,121
62454,3933
62458,792
62459,60
62460,295
62461,266
62462,281
62463,326
62464,21
62465,226
62466,1955
62467,1055
62468,785
62469,155
62471,3520
62473,400
62474,235
62475,71
62476,432
62477,236
62478,104
62479,212
62480,174
62481,84
62501,687
62510,408
62512,116
62513,432
62514,54
62515,256
62517,48
62518,109
62519,21
62520,386
