zip,count
60000,40
60001,6
60002,2059
60004,4143
60005,2647
60006,15
60007,3214
60008,2622
60009,20
60010,3456
60011,10
60012,1044
60013,2143
60014,4509
60015,1990
60016,6776
60017,16
60018,3714
60019,11
60020,949
60021,409
60022,505
60025,3447
60026,1105
60029,52
60030,2824
60031,3321
60033,1601
60034,183
60035,1900
60036,9
60038,8
60040,675
60041,835
60042,745
60043,176
60044,772
60045,1424
60046,3124
60047,3608
60048,2089
60050,3162
60051,2328
60053,2430
60055,9
60056,5199
60057,6
60060,3716
60061,1909
60062,3341
60063,10
60064,3124
60065,10
60067,3546
60068,3652
60069,661
60070,1573
60071,333
60072,63
60073,7442
60074,3761
60075,18
60076,3402
60077,2790
60078,12
60079,43
60081,883
60082,16
60083,893
60084,1560
60085,9930
60086,11
60087,3699
60088,804
60089,3041
60090,4417
60091,1798
60093,1673
60094,6
60095,8
60096,609
60097,938
60098,3435
60099,3659
60101,5231
60102,2996
60103,4461
60104,2566
60105,12
60106,2528
60107,4840
60108,2755
60109,65
60110,4863
60111,26
60112,474
60113,46
60115,4483
60116,10
60118,1497
60119,1002
60120,6691
60121,33
60123,5926
60124,2434
60125,6
60126,4859
60129,23
60130,1275
60131,2618
60133,5005
60134,2713
60135,810
60136,922
60137,3523
60138,16
60139,4129
60140,2100
60141,81
60142,2507
60143,1239
60144,11
60145,224
60146,270
60147,17
60148,4868
60150,126
60151,355
60152,1197
60153,2788
60154,1783
60155,923
60156,2744
60157,240
60159,46
60160,3744
60161,14
60162,1551
60163,679
60164,3250
60165,739
60168,21
60169,3282
60170,7
60171,1287
60172,2582
60173,1060
60174,3293
60175,2747
60176,1554
60177,2912
60178,2058
60180,133
60181,3129
60183,11
60184,260
60185,4719
60186,12
60187,2513
60188,4811
60189,2525
60190,1197
60191,1784
60192,1161
60193,3433
60194,1670
60195,361
60196,8
60201,2793
60202,2203
60203,290
60204,13
60208,16
60301,221
60302,2123
60303,18
60304,1052
60305,838
60401,892
60402,8931
60403,1952
60404,2182
60406,3249
60407,154
60408,639
60409,4015
60410,1499
60411,6337
60412,13
60415,1371
60416,1135
60417,1617
60418,1094
60419,2306
60420,605
60421,337
60422,835
60423,3691
60424,218
60425,971
60426,2982
60428,1220
60429,1559
60430,1798
60431,3366
60432,2755
60433,2059
60434,498
60435,5830
60436,2240
60437,19
60438,3546
60439,2611
60440,6157
60441,3832
60442,1285
60443,2186
60444,174
60445,2058
60446,4999
60447,1661
60448,2684
60449,844
60450,2439
60451,3718
60452,3137
60453,6248
60454,20
60455,1966
60456,432
60457,1407
60458,1545
60459,3437
60460,177
60461,383
60462,4237
60463,1673
60464,950
60465,1946
60466,2355
60467,2626
60468,724
60469,835
60470,45
60471,1313
60472,447
60473,2631
60474,95
60475,943
60476,270
60477,4029
60478,1760
60479,57
60480,555
60481,1320
60482,1019
60484,653
60487,2850
60490,2044
60491,2482
60499,6
60501,1492
60502,1796
60503,1387
60504,3676
60505,9125
60506,6874
60507,33
60510,2444
60511,131
60512,101
60513,1942
60514,969
60515,2441
60516,2387
60517,3095
60518,290
60519,16
60520,248
60521,1825
60522,6
60523,993
60524,6
60525,3402
60526,1247
60527,2976
60528,10
60530,45
60531,180
60532,2145
60534,1331
60536,16
60537,50
60538,3288
60539,35
60540,3224
60541,305
60542,1824
60543,3785
60544,2909
60545,1672
60546,1616
60548,1357
60549,59
60550,133
60551,779
60552,430
60553,54
60554,1059
60555,1491
60556,134
60558,1335
60559,2367
60560,2710
60561,2012
60563,3415
60564,3541
60565,2903
60567,20
60585,2407
60586,5487
60598,12
60601,1113
60602,111
60603,83
60604,117
60605,2006
60606,327
60607,2744
60608,8235
60609,7452
60610,3641
60611,2362
60612,3668
60613,3969
60614,6024
60615,2518
60616,3896
60617,8400
60618,8695
60619,5070
60620,5822
60621,2441
60622,5310
60623,11254
