zip,count
61283,180
61284,300
61285,812
61301,1446
61310,463
61311,36
61312,45
61313,43
61314,105
61315,28
61316,39
61317,50
61318,68
61319,160
61320,58
61321,53
61322,260
61323,12
61324,6
61325,136
61326,274
61327,121
61329,173
61330,180
61332,11
61333,61
61334,107
61335,55
61336,39
61337,80
61338,52
61340,29
61341,1065
61342,1481
61344,51
61345,101
61348,605
61349,124
61350,3131
61353,150
61354,1586
61356,1568
61358,65
61359,37
61360,453
61361,176
61362,920
61363,34
61364,2813
61367,109
61368,134
61369,301
61370,147
61372,21
61373,244
61374,9
61375,102
61376,299
61377,185
61378,41
61379,170
61401,5035
61402,162
61410,590
61411,52
61412,188
61413,126
61414,80
61415,258
61416,21
61417,28
61418,67
61419,17
61420,139
61421,183
61422,523
61423,92
61424,12
61425,42
61426,9
61427,315
61428,150
61430,114
61431,43
61432,77
61433,21
61434,410
61435,20
61436,105
61437,78
61438,84
61439,36
61440,81
61441,118
61442,84
61443,2128
61447,128
61448,605
61449,53
61450,270
61451,51
61452,42
61453,81
61454,76
61455,2490
61458,87
61459,34
61460,32
61462,1723
61465,164
61466,54
61467,145
61468,7
61469,241
61470,90
61471,17
61472,73
61473,220
61474,40
61475,24
61476,53
61477,81
61478,37
61479,25
61480,177
61482,131
61483,307
61484,94
61485,75
61486,178
61488,148
61489,140
61490,133
61491,306
61501,279
61516,96
61517,503
61519,43
61520,2811
61523,1437
61524,31
61525,1479
61526,168
61528,439
61529,400
61530,1060
61531,486
61532,77
61533,339
61534,254
61535,261
61536,448
61537,323
61539,21
61540,313
61541,18
61542,567
61543,11
61544,79
61545,101
61546,610
61547,593
61548,1962
61550,3225
61552,24
61553,36
61554,6455
61555,25
61559,487
61560,63
61561,428
61563,58
61564,182
61565,148
61567,77
61568,805
61569,139
61570,195
61571,3815
61572,156
61601,27
61602,147
61603,2661
61604,4952
61605,2249
61606,887
61607,1735
61610,826
61611,3838
61612,26
61614,4286
61615,3368
61616,947
61625,65
61636,6
61701,4663
61702,20
61704,4754
61705,1888
61720,42
61721,84
61722,69
61723,344
61724,60
61725,218
61726,400
61727,1427
61728,205
61729,261
61730,51
61731,48
61732,333
61733,175
61734,380
61735,38
61736,299
61737,68
61738,756
61739,874
61740,284
61741,324
61742,183
61743,53
61744,287
61745,699
61747,213
61748,407
61749,85
61750,10
61751,19
61752,539
61753,424
61754,174
61755,742
61756,284
61759,271
61760,397
61761,8068
61764,2300
61769,91
61770,126
61771,126
61772,63
61773,90
61774,130
61775,61
61776,198
61777,139
61778,88
61790,205
61801,2650
61802,2586
61803,12
61810,42
61811,125
61812,55
61813,232
