report_date,new_in_pt,in_pt,icu,vent,new_discharge,discharge,confirm_in_pt,probable_in_pt,confirme_icu,probable_icu,confirm_vent,probable_vent,total_beds,icu_beds,mortality,peds_in_pt_0_11,peds_in_pt_12_17,peds_icu_0_11,peds_icu_12_17
8/30/21,92,585,120,93,71,26371,538,47,117,3,90,3,86,78,13,9,8,2,3
8/31/21,79,604,126,93,71,26442,551,53,121,5,89,4,89,82,8,14,11,3,5
9/1/21,74,612,121,84,100,26542,569,43,116,5,80,4,89,82,8,15,16,3,7
9/2/21,99,595,127,84,82,26624,552,43,118,9,77,7,88,83,10,13,14,7,3
9/3/21,75,588,122,77,94,26718,553,35,117,5,74,3,87,83,8,16,12,5,5
9/4/21,66,544,117,79,64,26782,514,30,111,6,74,5,85,81,8,,,,
9/5/21,66,538,120,82,53,26835,511,27,113,7,75,7,82,77,10,,,,
9/6/21,68,541,123,85,53,26888,520,21,121,2,81,4,84,80,3,,,,
9/7/21,72,574,134,84,75,26963,540,34,130,4,82,2,85,79,6,14,15,4,2
9/8/21,86,573,136,85,100,27063,529,44,127,9,83,2,90,83,10,12,10,3,1
9/9/21,78,540,130,85,83,27146,503,37,125,5,82,3,90,83,9,13,11,4,1
9/10/21,62,530,121,79,81,27227,494,36,117,4,77,2,89,81,11,17,9,3,0
9/11/21,55,499,116,83,63,27290,474,25,110,6,81,2,86,82,12,,,,
9/12/21,44,525,127,84,50,27340,481,44,119,8,82,2,84,80,4,,,,
9/13/21,77,505,116,82,87,27427,470,35,113,3,80,2,86,79,12,9,9,4,1
9/14/21,57,510,133,93,84,27511,453,57,120,13,83,10,88,82,6,9,10,3,3
9/15/21,75,469,119,83,53,27564,422,47,115,4,81,2,90,83,9,11,8,3,4
9/16/21,73,513,126,91,71,27635,456,57,120,6,87,4,90,83,7,10,11,3,3
9/17/21,62,493,121,80,65,27700,462,31,118,3,79,1,89,83,9,8,9,2,3
9/18/21,52,506,122,86,57,27757,462,44,119,3,84,2,87,82,9,,,,
9/19/21,60,494,126,85,44,27801,445,49,118,8,80,5,85,80,8,,,,
9/20/21,70,497,124,85,85,27886,442,55,120,4,81,4,86,81,12,7,9,3,2
9/21/21,52,487,129,98,69,27955,437,50,126,3,96,2,88,81,9,9,11,3,3
9/22/21,55,482,127,97,58,28013,435,47,126,1,96,1,89,81,10,8,10,2,3
9/23/21,48,459,127,90,65,28078,418,41,125,2,88,2,88,81,8,12,4,4,2
9/24/21,51,435,131,93,65,28143,393,42,128,3,91,2,87,80,8,12,2,4,2
9/25/21,50,432,131,97,43,28186,390,42,125,6,94,3,84,81,10,7,3,2,2
9/26/21,44,428,126,94,32,28218,387,41,120,6,91,3,84,81,9,6,2,1,2
9/27/21,81,444,125,97,66,28284,398,46,118,7,95,2,84,77,9,7,5,3,3
9/28/21,57,438,135,101,51,28335,397,41,128,7,98,3,88,82,5,8,6,4,2
9/29/21,49,400,126,94,51,28386,363,37,120,6,92,2,90,82,4,6,6,4,2
9/30/21,58,393,112,84,57,28443,365,28,110,2,82,2,88,81,7,7,8,3,2
10/1/21,47,374,108,80,56,28499,345,29,104,4,76,4,88,80,7,7,10,2,1
10/2/21,45,393,115,84,45,28544,357,36,107,8,80,4,85,78,8,,,,
10/3/21,31,399,116,84,29,28573,355,44,109,7,82,2,82,74,2,,,,
10/4/21,51,410,112,85,65,28638,368,42,107,5,83,2,84,76,4,7,7,2,2
10/5/21,48,392,118,81,44,28682,354,38,110,8,76,5,87,80,7,8,6,2,2
10/6/21,36,393,118,82,58,28740,351,42,112,6,79,3,88,80,6,10,7,3,2
10/7/21,55,371,116,88,59,28799,330,41,107,9,80,8,88,80,4,9,7,3,3
10/8/21,46,360,113,84,62,28861,322,38,105,8,79,5,88,79,8,11,3,2,2
10/9/21,36,350,111,83,40,28901,313,37,107,4,80,3,83,78,5,,,,
10/10/21,33,348,109,79,30,28931,315,33,104,5,76,3,82,75,9,,,,
10/11/21,41,346,110,80,58,28989,309,37,106,4,78,2,83,74,8,6,3,3,1
10/12/21,39,332,106,73,35,29024,299,33,102,4,71,2,87,77,12,6,3,3,1
10/13/21,35,330,106,76,36,29059,297,33,100,6,72,4,86,79,6,7,4,3,0
10/14/21,42,316,106,71,42,29101,286,30,104,2,71,0,88,81,1,6,3,3,0
10/15/21,45,315,98,67,58,29159,286,29,97,1,66,1,87,81,7,6,2,2,0
10/16/21,30,307,99,77,19,29178,280,27,96,3,73,4,85,79,7,,,,
10/17/21,38,319,103,70,28,29206,295,24,101,2,69,1,83,77,7,,,,
10/18/21,35,323,100,72,49,29255,297,26,99,1,72,0,85,74,1,4,5,2,0
10/19/21,46,327,102,72,29,29284,272,55,91,11,68,4,88,80,9,2,5,1,2
10/20/21,,306,92,75,44,29328,276,30,86,8,70,5,88,78,9,4,4,1,2
10/21/21,,305,92,71,,,265,40,88,4,67,4,89,81,8,3,2,1,2
