report_date,zip,cases
2020-10-27,60502,429
2020-10-27,60503,264
2020-10-27,60504,895
2020-10-27,60505,NA
2020-10-27,60506,NA
2020-10-27,60507,10
2020-10-27,60510,558
2020-10-27,60511,18
2020-10-27,60512,18
2020-10-27,60513,478
2020-10-27,60514,217
2020-10-27,60515,475
2020-10-27,60516,500
2020-10-27,60517,724
2020-10-27,60518,36
2020-10-27,60520,52
2020-10-27,60521,467
2020-10-27,60523,257
2020-10-27,60525,874
2020-10-27,60526,278
2020-10-27,60527,780
2020-10-27,60530,8
2020-10-27,60531,29
2020-10-27,60532,450
2020-10-27,60534,424
2020-10-27,60537,13
2020-10-27,60538,776
2020-10-27,60539,12
2020-10-27,60540,618
2020-10-27,60541,40
2020-10-27,60542,455
2020-10-27,60543,798
2020-10-27,60544,671
2020-10-27,60545,379
2020-10-27,60546,409
2020-10-27,60548,341
2020-10-27,60549,9
2020-10-27,60550,18
2020-10-27,60551,89
2020-10-27,60552,62
2020-10-27,60553,12
2020-10-27,60554,215
2020-10-27,60555,348
2020-10-27,60556,23
2020-10-27,60558,305
2020-10-27,60559,675
2020-10-27,60560,482
2020-10-27,60561,437
2020-10-27,60563,693
2020-10-27,60564,739
2020-10-27,60565,601
2020-10-27,60585,466
2020-10-27,60586,NA
2020-10-27,60598,7
2020-10-27,60601,281
2020-10-27,60602,33
2020-10-27,60603,15
2020-10-27,60604,37
2020-10-27,60605,514
2020-10-27,60606,92
2020-10-27,60607,924
2020-10-27,60608,NA
2020-10-27,60609,NA
2020-10-27,60610,878
2020-10-27,60611,634
2020-10-27,60612,NA
2020-10-27,60613,NA
2020-10-27,60614,NA
2020-10-27,60615,767
2020-10-27,60616,NA
2020-10-27,60617,NA
2020-10-27,60618,NA
2020-10-27,60619,NA
2020-10-27,60620,NA
2020-10-27,60621,868
2020-10-27,60622,NA
2020-10-27,60623,NA
2020-10-27,60624,NA
2020-10-27,60625,NA
2020-10-27,60626,NA
2020-10-27,60628,NA
2020-10-27,60629,NA
2020-10-27,60630,NA
2020-10-27,60631,868
2020-10-27,60632,NA
2020-10-27,60633,715
2020-10-27,60634,NA
2020-10-27,60636,NA
2020-10-27,60637,NA
2020-10-27,60638,NA
2020-10-27,60639,NA
2020-10-27,60640,NA
2020-10-27,60641,NA
2020-10-27,60642,527
2020-10-27,60643,NA
2020-10-27,60644,NA
2020-10-27,60645,NA
2020-10-27,60646,738
2020-10-27,60647,NA
