report_date,zip,geoid,county,state,cases,new_cases,case_rate
2020-11-04,63377,29113,Lincoln,Missouri,86,0,36.11927761444771
2020-11-04,63387,29113,Lincoln,Missouri,NA,NA,NA
2020-11-04,63370,29113,Lincoln,Missouri,NA,NA,NA
2020-11-04,63347,29113,Lincoln,Missouri,50,2,18.422991893883566
2020-11-04,63379,29113,Lincoln,Missouri,826,9,32.71805434524281
2020-11-04,63381,29113,Lincoln,Missouri,NA,NA,NA
2020-11-04,63349,29113,Lincoln,Missouri,35,0,18.508725542041248
2020-11-04,63389,29113,Lincoln,Missouri,198,5,28.440103418557886
2020-11-04,63369,29113,Lincoln,Missouri,78,6,40.206185567010316
2020-11-04,63362,29113,Lincoln,Missouri,210,2,28.586986114892458
2020-11-05,63343,29113,Lincoln,Missouri,88,2,21.52641878669276
2020-11-05,63377,29113,Lincoln,Missouri,86,0,36.11927761444771
2020-11-05,63387,29113,Lincoln,Missouri,NA,NA,NA
2020-11-05,63370,29113,Lincoln,Missouri,NA,NA,NA
2020-11-05,63347,29113,Lincoln,Missouri,52,2,19.15991156963891
2020-11-05,63379,29113,Lincoln,Missouri,844,18,33.43103858036917
2020-11-05,63381,29113,Lincoln,Missouri,NA,NA,NA
2020-11-05,63349,29113,Lincoln,Missouri,36,1,19.037546271813856
2020-11-05,63389,29113,Lincoln,Missouri,201,3,28.871014076414824
2020-11-05,63369,29113,Lincoln,Missouri,78,0,40.206185567010316
2020-11-05,63362,29113,Lincoln,Missouri,214,4,29.131500136128505
