report_date,zip,geoid,county,state,cases,new_cases,case_avg,case_rate,case_avg_rate
2020-04-07,63088,29189,St. Louis,Missouri,7,NA,NA,0.8357211079274117,NA
2020-04-07,63105,29189,St. Louis,Missouri,11,0,NA,0.6325474410580794,NA
2020-04-07,63114,29189,St. Louis,Missouri,18,3,NA,0.5072279989855439,NA
2020-04-07,63117,29189,St. Louis,Missouri,11,3,NA,1.2941176470588236,NA
2020-04-07,63119,29189,St. Louis,Missouri,24,3,NA,0.7095973035302465,NA
2020-04-07,63120,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-07,63121,29189,St. Louis,Missouri,44,11,NA,1.7868020304568528,NA
2020-04-07,63122,29189,St. Louis,Missouri,41,8,NA,1.0598149201261438,NA
2020-04-07,63123,29189,St. Louis,Missouri,34,6,NA,0.7002512666309676,NA
2020-04-07,63124,29189,St. Louis,Missouri,14,3,NA,1.293063637203288,NA
2020-04-07,63125,29189,St. Louis,Missouri,25,4,NA,0.7633121641426478,NA
2020-04-07,63126,29189,St. Louis,Missouri,8,0,NA,0.541235369731412,NA
2020-04-07,63127,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-07,63128,29189,St. Louis,Missouri,16,2,NA,0.5364986755188947,NA
2020-04-07,63129,29189,St. Louis,Missouri,39,8,NA,0.726649400980045,NA
2020-04-07,63130,29189,St. Louis,Missouri,39,6,NA,1.367893093893585,NA
2020-04-07,63131,29189,St. Louis,Missouri,21,3,NA,1.1913541725761616,NA
2020-04-07,63132,29189,St. Louis,Missouri,24,3,NA,1.7874432114396366,NA
2020-04-07,63133,29189,St. Louis,Missouri,13,2,NA,1.7862050013740038,NA
2020-04-07,63134,29189,St. Louis,Missouri,34,3,NA,2.5138632162661736,NA
2020-04-07,63135,29189,St. Louis,Missouri,31,9,NA,1.4175316658283414,NA
2020-04-07,63136,29189,St. Louis,Missouri,94,23,NA,2.158686416350901,NA
2020-04-07,63137,29189,St. Louis,Missouri,34,2,NA,2.454873646209386,NA
2020-04-07,63138,29189,St. Louis,Missouri,50,8,NA,2.6907760198041117,NA
2020-04-07,63140,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-07,63141,29189,St. Louis,Missouri,29,3,NA,1.4111922141119222,NA
2020-04-07,63143,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-07,63144,29189,St. Louis,Missouri,11,3,NA,1.2607449856733524,NA
2020-04-07,63146,29189,St. Louis,Missouri,34,4,NA,1.1266485519252436,NA
2020-04-07,63147,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-07,63304,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-08,63005,29189,St. Louis,Missouri,34,2,NA,1.9008218259070835,NA
2020-04-08,63011,29189,St. Louis,Missouri,36,4,NA,0.9366219169528568,NA
2020-04-08,63017,29189,St. Louis,Missouri,55,0,NA,1.3235152565213206,NA
2020-04-08,63021,29189,St. Louis,Missouri,48,3,NA,0.8535913075951843,NA
