report_date,zip,geoid,county,state,cases,new_cases,case_avg,case_rate,case_avg_rate
2020-07-19,63376,29183,St. Charles,Missouri,423,13,NA,5.681818181818182,NA
2020-07-19,63385,29183,St. Charles,Missouri,184,7,NA,4.216895081816932,NA
2020-07-19,63386,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-20,63301,29183,St. Charles,Missouri,424,16,NA,8.367044893931919,NA
2020-07-20,63303,29183,St. Charles,Missouri,328,29,NA,6.846741535507035,NA
2020-07-20,63304,29183,St. Charles,Missouri,254,11,NA,6.15369706366896,NA
2020-07-20,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-20,63341,29183,St. Charles,Missouri,18,0,NA,4.914004914004914,NA
2020-07-20,63348,29183,St. Charles,Missouri,26,1,NA,4.924242424242424,NA
2020-07-20,63366,29183,St. Charles,Missouri,320,40,NA,6.448882529574172,NA
2020-07-20,63367,29183,St. Charles,Missouri,139,8,NA,5.737163612349347,NA
2020-07-20,63368,29183,St. Charles,Missouri,245,22,NA,5.230683831849528,NA
2020-07-20,63373,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-20,63376,29183,St. Charles,Missouri,446,23,NA,5.9907586503331185,NA
2020-07-20,63385,29183,St. Charles,Missouri,204,20,NA,4.67525324288399,NA
2020-07-20,63386,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-21,63301,29183,St. Charles,Missouri,446,22,NA,8.801184015786877,NA
2020-07-21,63303,29183,St. Charles,Missouri,339,11,NA,7.076357867490502,NA
2020-07-21,63304,29183,St. Charles,Missouri,260,6,NA,6.299059986432794,NA
2020-07-21,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-21,63341,29183,St. Charles,Missouri,18,0,NA,4.914004914004914,NA
2020-07-21,63348,29183,St. Charles,Missouri,28,2,NA,5.303030303030304,NA
2020-07-21,63366,29183,St. Charles,Missouri,341,21,NA,6.872090445577478,NA
2020-07-21,63367,29183,St. Charles,Missouri,152,13,NA,6.27373287105828,NA
2020-07-21,63368,29183,St. Charles,Missouri,259,14,NA,5.529580050812357,NA
2020-07-21,63373,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-21,63376,29183,St. Charles,Missouri,480,34,NA,6.447453255963894,NA
2020-07-21,63385,29183,St. Charles,Missouri,220,16,NA,5.041939771737636,NA
2020-07-21,63386,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-22,63301,29183,St. Charles,Missouri,461,15,NA,9.097187962506167,NA
2020-07-22,63303,29183,St. Charles,Missouri,361,22,NA,7.535590531457437,NA
2020-07-22,63304,29183,St. Charles,Missouri,266,6,NA,6.444422909196628,NA
2020-07-22,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-22,63341,29183,St. Charles,Missouri,19,1,NA,5.187005187005187,NA
2020-07-22,63348,29183,St. Charles,Missouri,30,2,NA,5.681818181818182,NA
2020-07-22,63366,29183,St. Charles,Missouri,348,7,NA,7.013159750911912,NA
2020-07-22,63367,29183,St. Charles,Missouri,159,7,NA,6.562654779593858,NA
2020-07-22,63368,29183,St. Charles,Missouri,261,2,NA,5.57227951066419,NA
2020-07-22,63373,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-22,63376,29183,St. Charles,Missouri,488,8,NA,6.554910810229959,NA
2020-07-22,63385,29183,St. Charles,Missouri,229,9,NA,5.248200944217812,NA
2020-07-22,63386,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-23,63301,29183,St. Charles,Missouri,471,10,NA,9.294523926985693,NA
2020-07-23,63303,29183,St. Charles,Missouri,368,7,NA,7.6817100154469165,NA
2020-07-23,63304,29183,St. Charles,Missouri,273,7,NA,6.614012985754433,NA
2020-07-23,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-23,63341,29183,St. Charles,Missouri,19,0,NA,5.187005187005187,NA
2020-07-23,63348,29183,St. Charles,Missouri,31,1,NA,5.871212121212121,NA
2020-07-23,63366,29183,St. Charles,Missouri,358,10,NA,7.214687329961105,NA
2020-07-23,63367,29183,St. Charles,Missouri,163,4,NA,6.7277530130427605,NA
2020-07-23,63368,29183,St. Charles,Missouri,268,7,NA,5.7217276201456055,NA
2020-07-23,63373,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-23,63376,29183,St. Charles,Missouri,503,15,NA,6.756393724478831,NA
2020-07-23,63385,29183,St. Charles,Missouri,235,6,NA,5.3857083925379285,NA
2020-07-23,63386,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-24,63301,29183,St. Charles,Missouri,481,10,NA,9.49185989146522,NA
2020-07-24,63303,29183,St. Charles,Missouri,379,11,NA,7.911326347430385,NA
2020-07-24,63304,29183,St. Charles,Missouri,280,7,NA,6.783603062312239,NA
2020-07-24,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-24,63341,29183,St. Charles,Missouri,19,0,NA,5.187005187005187,NA
2020-07-24,63348,29183,St. Charles,Missouri,31,0,NA,5.871212121212121,NA
2020-07-24,63366,29183,St. Charles,Missouri,365,7,NA,7.35575663529554,NA
2020-07-24,63367,29183,St. Charles,Missouri,170,7,NA,7.016674921578339,NA
2020-07-24,63368,29183,St. Charles,Missouri,282,14,NA,6.020623839108436,NA
2020-07-24,63373,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-24,63376,29183,St. Charles,Missouri,517,14,NA,6.944444444444444,NA
2020-07-24,63385,29183,St. Charles,Missouri,248,13,NA,5.683641197231516,NA
2020-07-24,63386,29183,St. Charles,Missouri,5,NaN,NA,12.755102040816327,NA
2020-07-25,63301,29183,St. Charles,Missouri,484,3,NA,9.551060680809078,NA
2020-07-25,63303,29183,St. Charles,Missouri,380,1,NA,7.932200559428882,NA
2020-07-25,63304,29183,St. Charles,Missouri,282,2,NA,6.832057369900184,NA
2020-07-25,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-25,63341,29183,St. Charles,Missouri,19,0,NA,5.187005187005187,NA
2020-07-25,63348,29183,St. Charles,Missouri,31,0,NA,5.871212121212121,NA
2020-07-25,63366,29183,St. Charles,Missouri,371,6,NA,7.476673182725056,NA
2020-07-25,63367,29183,St. Charles,Missouri,171,1,NA,7.057949479940564,NA
2020-07-25,63368,29183,St. Charles,Missouri,284,2,NA,6.063323298960268,NA
2020-07-25,63373,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-25,63376,29183,St. Charles,Missouri,522,5,NA,7.0116054158607355,NA
2020-07-25,63385,29183,St. Charles,Missouri,250,2,NA,5.729477013338222,NA
2020-07-25,63386,29183,St. Charles,Missouri,5,0,NA,12.755102040816327,NA
2020-07-26,63301,29183,St. Charles,Missouri,507,23,NA,10.004933399111989,NA
2020-07-26,63303,29183,St. Charles,Missouri,394,14,NA,8.22443952740784,NA
2020-07-26,63304,29183,St. Charles,Missouri,291,9,NA,7.050101754045935,NA
2020-07-26,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-26,63341,29183,St. Charles,Missouri,20,1,NA,5.46000546000546,NA
2020-07-26,63348,29183,St. Charles,Missouri,31,0,NA,5.871212121212121,NA
2020-07-26,63366,29183,St. Charles,Missouri,386,15,NA,7.778964551298845,NA
2020-07-26,63367,29183,St. Charles,Missouri,185,14,NA,7.6357932970117215,NA
2020-07-26,63368,29183,St. Charles,Missouri,299,15,NA,6.383569247849015,NA
2020-07-26,63373,29183,St. Charles,Missouri,5,NaN,NA,8.431703204047217,NA
2020-07-26,63376,29183,St. Charles,Missouri,535,13,NA,7.186223941543091,NA
2020-07-26,63385,29183,St. Charles,Missouri,271,21,NA,6.210753082458633,NA
2020-07-26,63386,29183,St. Charles,Missouri,5,0,NA,12.755102040816327,NA
2020-07-27,63301,29183,St. Charles,Missouri,527,20,NA,10.39960532807104,NA
2020-07-27,63303,29183,St. Charles,Missouri,418,24,NA,8.725420615371771,NA
2020-07-27,63304,29183,St. Charles,Missouri,319,28,NA,7.728462060277159,NA
2020-07-27,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-27,63341,29183,St. Charles,Missouri,20,0,NA,5.46000546000546,NA
2020-07-27,63348,29183,St. Charles,Missouri,33,2,NA,6.25,NA
2020-07-27,63366,29183,St. Charles,Missouri,405,19,NA,8.161866951492312,NA
2020-07-27,63367,29183,St. Charles,Missouri,201,16,NA,8.296186230807331,NA
2020-07-27,63368,29183,St. Charles,Missouri,317,18,NA,6.767864386515511,NA
2020-07-27,63373,29183,St. Charles,Missouri,5,0,NaN,8.431703204047217,NaN
2020-07-27,63376,29183,St. Charles,Missouri,571,36,NA,7.669782935740383,NA
2020-07-27,63385,29183,St. Charles,Missouri,292,21,NA,6.692029151579044,NA
2020-07-27,63386,29183,St. Charles,Missouri,5,0,NaN,12.755102040816327,NaN
2020-07-28,63301,29183,St. Charles,Missouri,543,16,13.428571428571429,10.715342871238283,2.6499400944393545
2020-07-28,63303,29183,St. Charles,Missouri,429,11,12.571428571428571,8.955036947355238,2.62418665123963
2020-07-28,63304,29183,St. Charles,Missouri,327,8,8.571428571428571,7.9222792906289365,2.0766131823404814
2020-07-28,63332,29183,St. Charles,Missouri,NaN,NaN,NaN,NaN,NaN
2020-07-28,63341,29183,St. Charles,Missouri,23,3,0.7857142857142857,6.279006279006279,2.145002145002145
2020-07-28,63348,29183,St. Charles,Missouri,33,0,1.2142857142857142,6.25,2.2997835497835495
2020-07-28,63366,29183,St. Charles,Missouri,413,8,13,8.323089014731666,2.619858527639508
2020-07-28,63367,29183,St. Charles,Missouri,208,7,7.285714285714286,8.58510813934291,3.0071463949621453
2020-07-28,63368,29183,St. Charles,Missouri,324,7,9.214285714285714,6.917312495996926,1.9672251146023003
2020-07-28,63373,29183,St. Charles,Missouri,5,0,NaN,8.431703204047217,NaN
2020-07-28,63376,29183,St. Charles,Missouri,586,15,16.571428571428573,7.871265849989255,2.2259064812256306
2020-07-28,63385,29183,St. Charles,Missouri,300,8,12.285714285714286,6.875372416005868,2.8156287036976413
2020-07-28,63386,29183,St. Charles,Missouri,5,0,NaN,12.755102040816327,NaN
2020-07-29,63301,29183,St. Charles,Missouri,558,15,13.428571428571429,11.011346817957573,2.6499400944393545
2020-07-29,63303,29183,St. Charles,Missouri,447,18,12.857142857142858,9.330772763328184,2.683827256949622
2020-07-29,63304,29183,St. Charles,Missouri,336,9,8.571428571428571,8.140323674774686,2.0766131823404814
2020-07-29,63332,29183,St. Charles,Missouri,NaN,NaN,NaN,NaN,NaN
2020-07-29,63341,29183,St. Charles,Missouri,23,0,0.7142857142857143,6.279006279006279,1.9500019500019499
2020-07-29,63348,29183,St. Charles,Missouri,34,1,1.2857142857142858,6.4393939393939394,2.4350649350649354
2020-07-29,63366,29183,St. Charles,Missouri,428,15,12.928571428571429,8.625380383305455,2.6054637005645653
2020-07-29,63367,29183,St. Charles,Missouri,214,6,7.214285714285714,8.832755489516263,2.9776645675605558
2020-07-29,63368,29183,St. Charles,Missouri,333,9,8.928571428571429,7.109460065330174,1.906225886242539
2020-07-29,63373,29183,St. Charles,Missouri,5,0,NaN,8.431703204047217,NaN
2020-07-29,63376,29183,St. Charles,Missouri,597,11,16,8.019019987105095,2.149151085321298
2020-07-29,63385,29183,St. Charles,Missouri,312,12,12.357142857142858,7.150387312646102,2.8319986380214646
