report_date,geoid,county,state,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2021-06-09,29001,Adair,Missouri,8693,343.25765054294175,7890,311.5498519249753,198,7.818361303060217
2021-06-09,29003,Andrew,Missouri,4572,262.7133252887433,4175,239.90116646555194,85,4.884215365166925
2021-06-09,29005,Atchison,Missouri,2065,391.8406072106262,1922,364.70588235294116,24,4.554079696394687
2021-06-09,29007,Audrain,Missouri,7196,279.6191956479502,6214,241.4610452690888,137,5.323489411307558
2021-06-09,29009,Barry,Missouri,10935,308.08891894176315,9511,267.968331783732,313,8.818640295269491
2021-06-09,29011,Barton,Missouri,2630,221.9409282700422,2354,198.64978902953587,59,4.978902953586498
2021-06-09,29013,Bates,Missouri,4280,261.39000855014046,3885,237.26639794796628,96,5.862953462806889
2021-06-09,29015,Benton,Missouri,6775,356.7855073990205,6080,320.18537047764494,132,6.951392911685713
2021-06-09,29017,Bollinger,Missouri,2959,240.94129142577967,2544,207.1492549466656,56,4.559889259832261
2021-06-09,29019,Boone,Missouri,88293,500.20111605246007,77031,436.3991728748265,2301,13.035719343965102
2021-06-09,29021,Buchanan,Missouri,17765,199.43643630158516,15981,179.40859490771925,411,4.614037451165298
2021-06-09,29023,Butler,Missouri,9370,219.26848103339339,8022,187.72377319635876,238,5.56946622048534
2021-06-09,29025,Caldwell,Missouri,2440,269.6430544811582,2203,243.4523151729473,65,7.183114156260361
2021-06-09,29027,Callaway,Missouri,14757,329.10347903657447,13145,293.15343443354146,387,8.630686886708295
2021-06-09,29029,Camden,Missouri,15659,347.2370054993791,14225,315.43817633492995,346,7.6725208444207915
2021-06-09,29031,Cape Girardeau,Missouri,28419,362.8389765589091,24968,318.7784076400592,458,5.847505234666258
2021-06-09,29033,Carroll,Missouri,2954,334.04953070225037,2734,309.17109578197443,54,6.106524934976818
2021-06-09,29035,Carter,Missouri,1333,215.10408262062288,1139,183.79861223172503,26,4.195578505728578
2021-06-09,29037,Cass,Missouri,35365,344.8830723020811,30848,300.8328294747518,996,9.713093171578475
2021-06-09,29039,Cedar,Missouri,3379,242.43076481561198,2908,208.63825512986082,58,4.16128569378677
2021-06-09,29041,Chariton,Missouri,2058,272.7272727272727,1817,240.78982242247548,43,5.6983832494036575
2021-06-09,29043,Christian,Missouri,28741,341.03826757638683,25191,298.91426876297834,800,9.492732126965294
2021-06-09,29045,Clark,Missouri,1138,167.35294117647058,1042,153.23529411764704,25,3.676470588235294
2021-06-09,29047,Clay,Missouri,40205,344.77288123965593,35264,302.401962045398,1349,11.56817850496943
2021-06-09,29049,Clinton,Missouri,6571,320.92796092796095,5761,281.36752136752136,251,12.25885225885226
2021-06-09,29051,Cole,Missouri,30101,392.2465467813396,26972,351.4725045608548,705,9.186864738076622
2021-06-09,29053,Cooper,Missouri,5580,316.6496424923391,4836,274.42969016002723,143,8.114856429463172
