report_date,geoid,county,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2021-09-07,29001,Adair,10217,403.43534057255675,9239,364.817374136229,248,9.792694965449162
2021-09-07,29003,Andrew,5562,319.6000689536287,5092,292.5932310521174,85,4.884215365166925
2021-09-07,29005,Atchison,2441,463.1878557874763,2215,420.303605313093,36,6.83111954459203
2021-09-07,29007,Audrain,8792,341.63590441033614,7590,294.92908490382746,181,7.033223236836992
2021-09-07,29009,Barry,14775,416.27926633420674,12657,356.6055278505621,414,11.664271828247823
2021-09-07,29011,Barton,3536,298.3966244725738,3117,263.0379746835443,89,7.510548523206751
2021-09-07,29013,Bates,5730,349.9450348112862,5079,310.18688164162694,150,9.160864785635765
2021-09-07,29015,Benton,8366,440.57085681183844,7388,389.0673547843488,135,7.109379114224025
2021-09-07,29017,Bollinger,3617,294.5199902288087,3147,256.249491083788,115,9.36405830144125
2021-09-07,29019,Boone,101824,576.8574908647989,90912,515.0383820071949,1422,8.055972580233975
2021-09-07,29021,Buchanan,21059,236.41609412187344,18924,212.4477973865014,420,4.715074767614173
2021-09-07,29023,Butler,13262,310.3456345213301,11146,260.82886761987226,370,8.65841387218309
2021-09-07,29025,Caldwell,3165,349.7624046856006,2857,315.7254945297823,85,9.393303127417395
2021-09-07,29027,Callaway,19145,426.9625334522747,17081,380.93220338983053,487,10.860838537020518
2021-09-07,29029,Camden,19213,426.0466560227071,17446,386.86357991839634,321,7.118147951037786
2021-09-07,29031,Cape Girardeau,35072,447.7810122057096,30371,387.76109493897144,779,9.945865890403962
2021-09-07,29033,Carroll,3664,414.3390252176863,3287,371.70643446794077,96,10.856044328847677
2021-09-07,29035,Carter,1873,302.2430208165241,1605,258.99628852670645,65,10.488946264321445
2021-09-07,29037,Cass,44177,430.8185914064481,39457,384.78867195880713,1128,11.00037057985996
2021-09-07,29039,Cedar,4403,315.89898120246806,3868,277.51470799253843,87,6.2419285406801555
2021-09-07,29041,Chariton,2575,341.24039226080043,2292,303.7370792472833,50,6.626027034190299
2021-09-07,29043,Christian,38754,459.8516760605162,34599,410.5487985760902,750,8.899436369029962
2021-09-07,29045,Clark,1827,268.6764705882353,1646,242.05882352941177,56,8.23529411764706
2021-09-07,29047,Clay,49668,425.92163823930434,44851,384.6140653271934,1030,8.832634440414019
