report_date,geoid,county,state,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2021-04-02,29001,Adair,Missouri,6792,268.1934846989141,4836,190.95755182625865,2117,83.59328726554787
2021-04-02,29003,Andrew,Missouri,3513,201.86174797448717,2301,132.21858300293053,374,21.49054760673447
2021-04-02,29005,Atchison,Missouri,1632,309.6774193548387,1315,249.5256166982922,129,24.478178368121444
2021-04-02,29007,Audrain,Missouri,5351,207.92694773654554,3449,134.01981736934138,456,17.71905964639596
2021-04-02,29009,Barry,Missouri,8176,230.35528132307778,4395,123.8272335390077,2230,62.82929028259093
2021-04-02,29011,Barton,Missouri,2054,173.33333333333334,1180,99.57805907172995,305,25.738396624472575
2021-04-02,29013,Bates,Missouri,3188,194.6989129107121,2286,139.61157933308905,392,23.940393306461466
2021-04-02,29015,Benton,Missouri,5659,298.01464005476856,4018,211.59618726631209,617,32.49249565537943
2021-04-02,29017,Bollinger,Missouri,2331,189.80539044051787,1636,133.21390766224246,291,23.695138832342643
2021-04-02,29019,Boone,Missouri,57397,325.1678327620882,34900,197.71690791150894,10521,59.60399966008555
2021-04-02,29021,Buchanan,Missouri,13138,147.49202927836905,8101,90.94481117248193,2297,25.786968431451793
2021-04-02,29023,Butler,Missouri,6855,160.41466782112184,4390,102.73091053752368,685,16.02976622282545
2021-04-02,29025,Caldwell,Missouri,1751,193.50204442479833,1308,144.54635871367003,189,20.886285777433972
2021-04-02,29027,Callaway,Missouri,10407,232.09188224799288,6860,152.9884032114184,1350,30.107047279214985
2021-04-02,29029,Camden,Missouri,11728,260.06741174383535,8974,198.99769380876353,1329,29.470463012240554
2021-04-02,29031,Cape Girardeau,Missouri,21964,280.4249016904142,14578,186.12430417241202,1942,24.7944435932792
2021-04-02,29033,Carroll,Missouri,2450,277.0552979758001,1929,218.138640732783,739,83.56892457310867
2021-04-02,29035,Carter,Missouri,1048,169.114087461675,761,122.80135549459416,60,9.682104243989027
2021-04-02,29037,Cass,Missouri,23637,230.51042499658678,14879,145.10151937742583,4599,44.84991515671627
2021-04-02,29039,Cedar,Missouri,2698,193.5715310661501,1565,112.2829674271775,425,30.492179652747886
2021-04-02,29041,Chariton,Missouri,1666,220.77922077922076,1236,163.7953882851842,298,39.491121123774185
2021-04-02,29043,Christian,Missouri,20247,240.24918421833283,11770,139.66182141797685,3397,40.30851379412637
2021-04-02,29045,Clark,Missouri,853,125.44117647058822,681,100.1470588235294,122,17.941176470588236
2021-04-02,29047,Clay,Missouri,26097,223.79151552571324,17541,150.42062205757506,7905,67.78832548686682
2021-04-02,29049,Clinton,Missouri,4505,220.02442002442,2692,131.4774114774115,734,35.84859584859585
2021-04-02,29051,Cole,Missouri,21261,277.0523846755277,14541,189.48397185301016,3175,41.373468855876986
2021-04-02,29053,Cooper,Missouri,4302,244.12665985699695,3113,176.6541822721598,524,29.735557825445465
2021-04-02,29055,Crawford,Missouri,3699,152.3476112026359,2487,102.42998352553542,1006,41.4332784184514
2021-04-02,29057,Dade,Missouri,1928,254.01844532279316,1168,153.88669301712778,238,31.357048748353094
2021-04-02,29059,Dallas,Missouri,2991,181.28371416449482,1599,96.91496454330566,233,14.122068004121461
2021-04-02,29061,Daviess,Missouri,1456,175.37942664418213,1102,132.7390990122862,211,25.415562515056614
2021-04-02,29063,DeKalb,Missouri,2080,165.55237185609678,1136,90.41706462909902,264,21.012416427889207
2021-04-02,29065,Dent,Missouri,2419,156.02425180598556,1760,113.51909184726522,248,15.995872033023735
2021-04-02,29067,Douglas,Missouri,1635,122.25213100044863,999,74.6971736204576,217,16.225512187827125
2021-04-02,29069,Dunklin,Missouri,4170,137.04482713290392,3100,101.87984750887341,231,7.591691862757986
2021-04-02,29071,Franklin,Missouri,26853,261.26424144540334,15781,153.54005117677391,6097,59.32030239051965
2021-04-02,29073,Gasconade,Missouri,4115,279.0587277905873,2980,202.088702020887,461,31.26271531262715
2021-04-02,29075,Gentry,Missouri,1742,261.3653413353338,1390,208.55213803450863,162,24.306076519129785
2021-04-02,29077,Greene,Missouri,74254,257.442906226489,42998,149.0765491680795,13952,48.37238973889588
2021-04-02,29079,Grundy,Missouri,2070,206.1958362386692,1583,157.6850283892818,344,34.26636119135372
2021-04-02,29081,Harrison,Missouri,1515,177.11012391863457,1231,143.90928220715455,101,11.807341594575638
2021-04-02,29083,Henry,Missouri,5329,244.8426372616586,3823,175.64897771651735,777,35.69951757408683
2021-04-02,29085,Hickory,Missouri,2210,235.90947907771138,1475,157.45089666951324,184,19.64133219470538
2021-04-02,29087,Holt,Missouri,1088,244.16517055655297,898,201.52603231597845,87,19.524236983842012
2021-04-02,29089,Howard,Missouri,2640,261.0501334915455,1810,178.9775536438248,653,64.5703549886285
2021-04-02,29091,Howell,Missouri,5976,149.0199990025435,3711,92.53902548501323,536,13.36591691187472
2021-04-02,29093,Iron,Missouri,1975,193.22962528128363,1241,121.41669112611291,308,30.134037765384992
2021-04-02,29095,Jackson,Missouri,94406,247.85048004851677,57449,150.82475931939962,21262,55.82057185763155
2021-04-02,29097,Jasper,Missouri,11966,157.06297744992517,7408,97.23571259811514,2009,26.36967421836033
2021-04-02,29099,Jefferson,Missouri,40436,181.0821219693509,24126,108.04202380632506,8531,38.20386740826325
2021-04-02,29101,Johnson,Missouri,8546,159.17599508279162,5310,98.9029410121254,1875,34.92335487716292
2021-04-02,29512,Joplin,Missouri,16603,331.57589918718674,10730,214.2871407744693,2895,57.81558923971002
2021-04-02,29511,Kansas City,Missouri,126636,263.0484590282437,76732,159.38780724403168,29600,61.485157358381606
2021-04-02,29103,Knox,Missouri,1036,262.21209820298657,821,207.79549481144014,118,29.865856745127818
2021-04-02,29105,Laclede,Missouri,6506,183.23147548370744,4332,122.00411186526601,874,24.614864674571212
2021-04-02,29107,Lafayette,Missouri,8059,247.29203105342293,4821,147.93335174445366,1143,35.07318420325877
2021-04-02,29109,Lawrence,Missouri,6961,182.5453019694228,3473,91.07597094380196,1174,30.786982403692342
2021-04-02,29111,Lewis,Missouri,1675,167.04896778697517,1230,122.66879425551012,46,4.587613443702005
2021-04-02,29113,Lincoln,Missouri,8770,157.8388495941544,4293,77.26364667134604,1659,29.85799902813023
2021-04-02,29115,Linn,Missouri,3235,265.4685704907271,2290,187.92056458230758,365,29.95240439849007
2021-04-02,29117,Livingston,Missouri,3989,264.5927301671531,3006,199.3897585566463,670,44.44149641814805
2021-04-02,29121,Macon,Missouri,3350,219.61452733709191,2536,166.2514750229448,623,40.84174642716665
