report_date,geoid,county,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2021-08-28,29001,Adair,10072,397.70977295162885,8965,353.9980256663376,208,8.213228035538005
2021-08-28,29003,Andrew,5511,316.66953973452854,5008,287.7664770441878,123,7.067746940182728
2021-08-28,29005,Atchison,2414,458.06451612903226,2183,414.2314990512334,67,12.713472485768502
2021-08-28,29007,Audrain,8610,334.56382358655526,7361,286.03069749368564,229,8.898387410141831
2021-08-28,29009,Barry,14587,410.9824472431184,12242,344.9130814526808,644,18.144422843941058
2021-08-28,29011,Barton,3493,294.7679324894515,3027,255.44303797468353,108,9.113924050632912
2021-08-28,29013,Bates,5645,344.75387809942595,4900,299.2549163307683,206,12.580920972273114
2021-08-28,29015,Benton,8261,435.0413397229975,7241,381.3260308599716,300,15.798620253831164
2021-08-28,29017,Bollinger,3570,290.69294031430667,3085,251.20104226040223,109,8.875498737887794
2021-08-28,29019,Boone,100930,571.7927654873523,89433,506.65949069484185,1965,11.132198396736822
2021-08-28,29021,Buchanan,20906,234.69845974224256,18611,208.93394404777942,503,5.646863352642687
2021-08-28,29023,Butler,12952,303.0912877635551,10687,250.0877541946505,416,9.734865326562609
2021-08-28,29025,Caldwell,3104,343.0213283235717,2780,307.2162669908277,111,12.266548789921538
2021-08-28,29027,Callaway,18848,420.33898305084745,16525,368.5325602140946,650,14.495985727029439
2021-08-28,29029,Camden,19105,423.65176512329253,17150,380.2998048607416,429,9.513038850452368
2021-08-28,29031,Cape Girardeau,34307,438.013891016802,29447,375.96394464021245,1006,12.844083550380471
2021-08-28,29033,Carroll,3598,406.8754947416035,3200,361.86814429492256,100,11.30837950921633
2021-08-28,29035,Carter,1848,298.20881071486207,1536,247.8618686461191,85,13.71631434565112
2021-08-28,29037,Cass,43385,423.09492695675914,38344,373.9345829026155,1408,13.73095902166917
2021-08-28,29039,Cedar,4345,311.7376955086813,3777,270.9857942315971,125,8.968288133161142
2021-08-28,29041,Chariton,2535,335.9395706334482,2231,295.6533262655712,69,9.143917307182614
2021-08-28,29043,Christian,38221,453.52714328092554,33800,401.0679323642836,1217,14.44081874814595
2021-08-28,29045,Clark,1762,259.11764705882354,1585,233.08823529411765,58,8.529411764705882
2021-08-28,29047,Clay,48838,418.8040784475144,43799,375.5927726754307,1380,11.834015075506162
2021-08-28,29049,Clinton,8317,406.2026862026862,7306,356.8253968253968,277,13.52869352869353
2021-08-28,29051,Cole,36995,482.0823560072974,32761,426.90904352358615,1236,16.10633307271306
2021-08-28,29053,Cooper,6852,388.83214164113036,5910,335.3762342526387,215,12.200658268074
2021-08-28,29055,Crawford,7163,295.0164744645799,6145,253.08896210873144,284,11.696869851729819
2021-08-28,29057,Dade,3122,411.33069828722,2787,367.19367588932806,75,9.881422924901186
2021-08-28,29059,Dallas,5612,340.14182677738046,4875,295.4724528759319,231,14.000848536274924
2021-08-28,29061,Daviess,2316,278.96892315104793,2104,253.43290773307638,73,8.793061912792098
2021-08-28,29063,DeKalb,3110,247.5326329194524,2793,222.3018147086915,80,6.367398917542184
2021-08-28,29065,Dent,4405,284.12022703818366,3651,235.4876160990712,174,11.222910216718265
2021-08-28,29067,Douglas,3082,230.44713623448482,2574,192.46298788694483,147,10.991475998205473
2021-08-28,29069,Dunklin,8999,295.747337978178,7370,242.21112133561192,361,11.864072564743001
2021-08-28,29071,Franklin,51860,504.56796489623565,46540,452.80742549693036,1436,13.971453867932789
2021-08-28,29073,Gasconade,6872,466.0246846602468,6093,413.196799131968,269,18.242235182422352
2021-08-28,29075,Gentry,2558,383.79594898724685,2317,347.63690922730683,75,11.252813203300825
2021-08-28,29077,Greene,132580,459.66251659853896,117731,408.18017605719257,3343,11.590374060860732
2021-08-28,29079,Grundy,3159,314.6727761729256,2816,280.506026496663,66,6.57435999601554
2021-08-28,29081,Harrison,2243,262.216506897358,1987,232.28898760813655,71,8.300210427870002
2021-08-28,29083,Henry,9059,416.2186997473007,7641,351.0682288077188,313,14.380886744773719
2021-08-28,29085,Hickory,3516,375.3202391118702,3118,332.83518360375746,91,9.71391972672929
2021-08-28,29087,Holt,1547,347.17235188509875,1415,317.54937163375223,52,11.669658886894075
2021-08-28,29089,Howard,3919,387.52101255809356,3378,334.0255117175912,120,11.865915158706615
2021-08-28,29091,Howell,12628,314.89701261782454,10147,253.02977407610595,613,15.28602064734926
2021-08-28,29093,Iron,3444,336.95333137657764,2992,292.7306525780256,107,10.468642989922708
2021-08-28,29095,Jackson,184380,484.0653296543178,161008,422.7052315705738,5100,13.389376186338112
2021-08-28,29097,Jasper,24047,315.6354185808416,20489,268.93392486808597,893,11.721313627175597
2021-08-28,29099,Jefferson,91616,410.2784569775461,77999,349.29825975584635,2358,10.559690464035253
2021-08-28,29101,Johnson,15523,289.1281268043733,13420,249.9580919741474,529,9.853042522676898
2021-08-28,29512,Joplin,30147,602.0609909532083,26056,520.3602739999601,892,17.813991572304435
2021-08-28,29511,Kansas City,248501,516.1865908349725,211018,438.3268559273977,6920,14.374232733783808
2021-08-28,29103,Knox,1392,352.3158694001519,1278,323.4624145785877,27,6.83371298405467
2021-08-28,29105,Laclede,12376,348.5509899456445,10560,297.40614526713046,363,10.223336243557608
2021-08-28,29107,Lafayette,13465,413.176225106631,11847,363.52757065267423,443,13.593543833808953
2021-08-28,29109,Lawrence,13435,352.31951328245873,11529,302.33655888600424,564,14.790339076390527
2021-08-28,29111,Lewis,2563,255.60985339583127,2343,233.66909344769124,73,7.280343073701007
2021-08-28,29113,Lincoln,19701,354.5704875546677,17354,312.33014776020013,582,10.474596404081852
2021-08-28,29115,Linn,5046,414.08173313638605,4441,364.4345970786148,102,8.370260955194485
2021-08-28,29117,Livingston,6214,412.17829663040595,5578,369.99204032899974,126,8.357654550278589
2021-08-28,29121,Macon,5435,356.29998688868494,4871,319.3260784056641,246,16.12691752982824
2021-08-28,29123,Madison,4094,335.4362965997542,3432,281.19623105284717,283,23.18721835313396
2021-08-28,29125,Maries,2997,337.3480414227825,2603,292.9986492570914,129,14.520486267447097
2021-08-28,29127,Marion,11019,384.31222098214283,9970,347.7260044642857,198,6.905691964285714
2021-08-28,29119,McDonald,5465,239.409471240198,4115,180.2689797170018,220,9.63770972970605
2021-08-28,29129,Mercer,948,258.73362445414847,815,222.43449781659388,28,7.641921397379912
2021-08-28,29131,Miller,7612,303.8843866022596,6416,256.1379695796239,251,10.020360094215338
2021-08-28,29133,Mississippi,5061,368.1262729124236,4317,314.0093104451557,101,7.346523130637184
2021-08-28,29135,Moniteau,5350,335.25504449179095,4634,290.3872665747587,226,14.16217571124201
2021-08-28,29137,Monroe,3412,394.26854633695405,3004,347.12271781834994,77,8.897619597873815
2021-08-28,29139,Montgomery,5053,437.67864876569945,4439,384.4954525768731,188,16.284105673451712
2021-08-28,29141,Morgan,6897,342.50384863683763,6082,302.03108705368226,189,9.385707900878979
2021-08-28,29143,New Madrid,5064,284.31867946774463,4204,236.03391162764584,227,12.744932906630735
2021-08-28,29145,Newton,13574,265.2156073542916,11390,222.54352201012097,333,6.506320704949102
2021-08-28,29147,Nodaway,9492,420.98727103384044,8568,380.0062092517852,239,10.600079833237238
2021-08-28,29149,Oregon,2811,262.7348350313113,2330,217.77736237031496,121,11.309468174595755
2021-08-28,29151,Osage,4900,359.791467802335,4248,311.9171745355753,238,17.475585578970556
2021-08-28,29153,Ozark,2526,273.49501948895625,2013,217.95149415331315,126,13.64226938068428
2021-08-28,29155,Pemiscot,4020,236.0401620574247,2769,162.5858728201515,149,8.748752275262756
2021-08-28,29157,Perry,6873,358.978376684425,5970,311.81447821999376,299,15.616839026428497
2021-08-28,29159,Pettis,16230,383.04500719831964,13898,328.0073635269406,622,14.679851785419272
2021-08-28,29161,Phelps,18007,402.04067963115943,15725,351.0906695840497,582,12.994261983969277
2021-08-28,29163,Pike,6276,339.4450754502678,5547,300.01622586402726,179,9.681432202931472
2021-08-28,29165,Platte,19921,389.097230360561,17574,343.25559592171567,471,9.199578108519864
2021-08-28,29167,Polk,12012,380.74106944752606,10396,329.5191606707027,311,9.857681701480237
2021-08-28,29169,Pulaski,9939,188.98670875244812,8200,155.9202144853682,565,10.743283071247932
2021-08-28,29171,Putnam,1383,287.2274143302181,1245,258.5669781931464,32,6.645898234683282
2021-08-28,29173,Ralls,2741,268.2783595967505,2443,239.11128511304688,61,5.97044142116081
2021-08-28,29175,Randolph,9241,370.4550010022049,7409,297.013429544999,391,15.674483864501903
2021-08-28,29177,Ray,7699,337.3055859802848,6843,299.802847754655,253,11.08433734939759
2021-08-28,29179,Reynolds,1445,228.8202692003167,1184,187.49010292953287,94,14.885193982581157
2021-08-28,29181,Ripley,3341,243.99328123858908,2778,202.87738260425033,172,12.561162637844154
2021-08-28,29195,Saline,9716,420.5696476495541,8511,368.4096615011687,356,15.409921218942083
2021-08-28,29197,Schuyler,1132,251.44380275433141,1018,226.12172367836516,26,5.775211017325633
2021-08-28,29199,Scotland,1155,235.81053491220908,1015,207.22743977133524,47,9.595753368721926
2021-08-28,29201,Scott,15198,392.4191174572026,13207,341.01061220274215,460,11.877404528905988
2021-08-28,29203,Shannon,2321,281.4698035411108,1930,234.05287412078584,149,18.069366965801603
2021-08-28,29205,Shelby,2504,413.13314634548755,2286,377.1654842435242,57,9.404388714733543
2021-08-28,29183,St. Charles,213835,548.3159608702899,193271,495.5857276561919,4399,11.279921022603434
2021-08-28,29185,St. Clair,2965,315.99701587978257,2573,274.21933283597997,105,11.190450815304272
