report_date,geoid,county,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2021-11-11,29001,Adair,11339,447.73938795656466,10406,410.89832181638695,121,4.777887462981244
2021-11-11,29003,Andrew,8038,461.87438947307936,7499,430.9027179221973,94,5.401367580302247
2021-11-11,29005,Atchison,2674,507.4003795066414,2537,481.404174573055,34,6.451612903225806
2021-11-11,29007,Audrain,9919,385.42840489605595,8617,334.8358266951622,69,2.681173499125704
2021-11-11,29009,Barry,14810,417.2653762713774,13184,371.45352604738963,166,4.676978559152509
2021-11-11,29011,Barton,3820,322.36286919831224,3497,295.1054852320675,38,3.2067510548523206
2021-11-11,29013,Bates,6219,379.8094540124588,5735,350.2503969708074,77,4.702577256626358
2021-11-11,29015,Benton,8948,471.2201801042709,8120,427.6159882036969,57,3.0017378482279216
2021-11-11,29017,Bollinger,3755,305.7568601905382,3393,276.2804331894797,25,2.0356648481394024
2021-11-11,29019,Boone,105339,596.7708126788092,94889,537.569045123644,1054,5.971163923745857
2021-11-11,29021,Buchanan,33919,380.78719295882166,31337,351.80070950648883,390,4.378283712784588
2021-11-11,29023,Butler,14801,346.35995600589706,13178,308.37994056115883,120,2.8081342288161375
2021-11-11,29025,Caldwell,3407,376.50569123660074,3143,347.3311968173279,51,5.635981876450437
2021-11-11,29027,Callaway,20992,468.15343443354146,19233,428.9250669045495,246,5.486173059768064
2021-11-11,29029,Camden,20013,443.78658861096324,18611,412.6973567500444,287,6.364200816036899
2021-11-11,29031,Cape Girardeau,39156,499.9233951279302,35526,453.57744752566265,181,2.31091364077422
2021-11-11,29033,Carroll,4067,459.91179463982814,3825,432.54551622752456,38,4.297184213502206
2021-11-11,29035,Carter,1837,296.4337582701307,1610,259.8031305470389,26,4.195578505728578
2021-11-11,29037,Cass,51607,503.2767061301711,46994,458.2902615513643,514,5.012580211035478
2021-11-11,29039,Cedar,4925,353.350552446549,4527,324.7955230305639,40,2.8698522026115656
2021-11-11,29041,Chariton,3160,418.76490856082694,2919,386.82745825602973,16,2.1203286509408956
2021-11-11,29043,Christian,41020,486.7398398101453,37553,445.6007119549095,448,5.315929991100563
2021-11-11,29045,Clark,1978,290.88235294117646,1842,270.88235294117646,3,0.44117647058823534
2021-11-11,29047,Clay,53341,457.4189841612856,49026,420.4162486172211,740,6.345776199909102
2021-11-11,29049,Clinton,9531,465.4945054945055,8729,426.3247863247863,156,7.619047619047619
2021-11-11,29051,Cole,39419,513.6695334897055,36089,470.27625749283294,372,4.847537138389367
2021-11-11,29053,Cooper,7688,436.27284076722276,6991,396.72000907955965,52,2.950856883441153
2021-11-11,29055,Crawford,8744,360.1317957166392,7890,324.95881383855027,73,3.0065897858319603
2021-11-11,29057,Dade,3364,443.21475625823456,3134,412.9117259552042,30,3.952569169960474
2021-11-11,29059,Dallas,6048,366.56767076792534,5487,332.5656100369719,64,3.8790229710891566
2021-11-11,29061,Daviess,2799,337.1476752589738,2652,319.44109853047456,49,5.902192242833052
2021-11-11,29063,DeKalb,3837,305.396370582617,3601,286.61254377586755,48,3.8204393505253105
2021-11-11,29065,Dent,5097,328.7538699690403,4574,295.0206398348813,57,3.676470588235294
2021-11-11,29067,Douglas,3423,255.9443696724989,2923,218.55839688948706,31,2.3179303125467325
2021-11-11,29069,Dunklin,10372,340.8702510845274,9115,299.5596161430262,71,2.3333771526225844
2021-11-11,29071,Franklin,52632,512.0790807639545,48770,474.50404257596244,513,4.991194870647298
2021-11-11,29073,Gasconade,6730,456.39495456394957,6291,426.62416926624167,61,4.13671504136715
2021-11-11,29075,Gentry,2675,401.3503375843961,2487,373.1432858214553,17,2.5506376594148534
2021-11-11,29077,Greene,145076,502.9868702522978,132157,458.1959511699587,1787,6.195632200645567
2021-11-11,29079,Grundy,3682,366.76959856559415,3425,341.16943918717004,46,4.582129694192648
2021-11-11,29081,Harrison,2762,322.88987608136546,2489,290.9749824643442,42,4.909983633387888
2021-11-11,29083,Henry,9795,450.0344589937974,8816,405.0539857569492,118,5.421548357454629
2021-11-11,29085,Hickory,3714,396.45602049530316,3387,361.54995730145174,53,5.657557643040136
2021-11-11,29087,Holt,1784,400.359066427289,1668,374.326750448833,22,4.937163375224416
2021-11-11,29089,Howard,4429,437.9511519825966,3947,390.2897260951251,43,4.25195293186987
2021-11-11,29091,Howell,14808,369.25839110268817,12821,319.70974016258543,118,2.94249663358436
2021-11-11,29093,Iron,3669,358.9668329909011,3324,325.2127971822718,43,4.207024752959593
2021-11-11,29095,Jackson,203960,535.4700327383375,184704,484.91594884733223,2662,6.988729295692559
2021-11-11,29097,Jasper,26403,346.55973538445386,23745,311.6714356968472,285,3.7408447746305096
2021-11-11,29099,Jefferson,111675,500.1074777655372,99470,445.45055574961265,1231,5.512713724015011
2021-11-11,29101,Johnson,18692,348.1532529940956,16700,311.05068077259773,267,4.9730857345079995
2021-11-11,29512,Joplin,32433,647.7143370678808,29209,583.3283406226909,305,6.0911069838036465
2021-11-11,29511,Kansas City,280314,582.2685945863981,244446,507.7635397171267,4191,8.705550489492477
2021-11-11,29103,Knox,1583,400.6580612503164,1498,379.14452037458875,12,3.0372057706909645
2021-11-11,29105,Laclede,13268,373.6727969132847,11955,336.6941729799758,87,2.4502210831666993
2021-11-11,29107,Lafayette,14742,452.3612261806131,13500,414.2502071251036,206,6.3211513087238025
2021-11-11,29109,Lawrence,15737,412.68717383893215,14233,373.24626963522405,145,3.8024807909160048
2021-11-11,29111,Lewis,3084,307.5695621821083,2860,285.22987932582026,16,1.5956916325920016
2021-11-11,29113,Lincoln,24361,438.4392491406152,22159,398.8085596530065,243,4.373413962529021
2021-11-11,29115,Linn,5131,421.0569505990481,4553,373.62547185294596,31,2.543902839323814
2021-11-11,29117,Livingston,6820,452.3746351817458,6304,418.14804988060496,59,3.9135049084637834
2021-11-11,29121,Macon,5890,386.12822866133473,5540,363.183427297758,25,1.6389143831126263
2021-11-11,29123,Madison,4609,377.6321179844326,4059,332.5686194182712,52,4.260548955346169
2021-11-11,29125,Maries,3297,371.1166141377758,3025,340.4997748761819,19,2.138676271949572
2021-11-11,29127,Marion,11438,398.92578125,10553,368.05943080357144,68,2.3716517857142856
2021-11-11,29119,McDonald,7687,336.7503395102291,6201,271.6519910632146,66,2.8913129189118147
2021-11-11,29129,Mercer,1278,348.7991266375546,1173,320.1419213973799,7,1.910480349344978
2021-11-11,29131,Miller,9321,372.1106631003234,8550,341.330991257136,84,3.3534272825262486
2021-11-11,29133,Mississippi,5255,382.2374163514693,4797,348.9234797788769,75,5.4553389583939484
2021-11-11,29135,Moniteau,5992,375.48564983080587,5554,348.0386013284873,46,2.882566737686427
2021-11-11,29137,Monroe,3464,400.27732840305066,3045,351.86041137046453,20,2.3110700254217704
