report_date,category,initiated,initiated_pct,completed,completed_pct
2021-08-13,"Missouri, Known Jurisdiction",2614268,0.8530404969968809,2252500,0.8576597103261467
2021-08-13,"Missouri, Unknown Jurisdiction",123671,0.040354076668536375,99905,0.03803973068152439
2021-08-13,No Address Given,164080,0.05353960831377969,140096,0.053342816771521355
2021-08-13,Out-of-State,162628,0.05306581802080305,133832,0.05095774222080749
