report_date,geoid,county,state,first_dose,first_dose_rate,second_dose,second_dose_rate,total_dose,total_dose_rate,prior_week_dose,prior_week_rate
2021-02-25,29001,Adair,Missouri,2698,106.35027001458474,1318,51.95317119318853,4016,158.30344120777326,208,8.198983010761165
2021-02-25,29003,Andrew,Missouri,2072,118.37970633605667,664,37.9363537679255,2736,156.31606010398215,122,6.970233674227276
2021-02-25,29005,Atchison,Missouri,1050,200.80321285140562,174,33.275960986804364,1224,234.07917383820998,10,1.9124115509657678
2021-02-25,29007,Audrain,Missouri,3499,136.44517236000624,1547,60.32600218374669,5046,196.77117454375292,784,30.572453595382935
2021-02-25,29009,Barry,Missouri,2633,74.10638896707009,969,27.27272727272727,3602,101.37911623979736,667,18.77286799887419
2021-02-25,29011,Barton,Missouri,957,81.12231923370348,267,22.6328727642621,1224,103.75519199796558,237,20.089853352547255
2021-02-25,29013,Bates,Missouri,1659,101.80412371134021,573,35.1620029455081,2232,136.96612665684833,160,9.818360333824252
2021-02-25,29015,Benton,Missouri,3799,198.82765478620402,816,42.7068613597111,4615,241.53451614591512,309,16.17208352959648
2021-02-25,29017,Bollinger,Missouri,1600,130.879345603272,607,49.65235173824131,2207,180.53169734151328,276,22.576687116564415
2021-02-25,29019,Boone,Missouri,26300,148.04307321658757,14869,83.69781200218405,41169,231.74088521877164,5159,29.040084210052292
2021-02-25,29021,Buchanan,Missouri,7077,80.00226090888538,3278,37.05629663124576,10355,117.05855754013113,1144,12.93239882432738
2021-02-25,29023,Butler,Missouri,4154,97.38372093023257,2568,60.202550637659414,6722,157.58627156789197,583,13.66747936984246
2021-02-25,29025,Caldwell,Missouri,1177,130.21351919460116,336,37.17225356787255,1513,167.38577276247372,496,54.873326695430904
2021-02-25,29027,Callaway,Missouri,5675,126.42295439862772,2622,58.410746508053194,8297,184.83370090668092,903,20.116286840874157
2021-02-25,29029,Camden,Missouri,6157,135.4198741917037,2322,51.07113007522104,8479,186.49100426692476,1396,30.704262525843486
2021-02-25,29031,Cape Girardeau,Missouri,13952,177.75286338561108,9327,118.82891032092851,23279,296.5817737065396,1780,22.677759233542698
2021-02-25,29033,Carroll,Missouri,1110,126.40929279125385,696,79.26204304748889,1806,205.67133583874275,360,40.99760847283908
2021-02-25,29035,Carter,Missouri,802,130.47014803969418,228,37.09126403123475,1030,167.5614120709289,63,10.248901903367496
2021-02-25,29037,Cass,Missouri,8469,81.74947150979276,3950,38.128517235055064,12419,119.87798874484783,1201,11.592999797291426
2021-02-25,29039,Cedar,Missouri,1183,84.24125899024425,526,37.45638396354055,1709,121.69764295378481,165,11.749626148258919
2021-02-25,29041,Chariton,Missouri,1083,144.72805024722703,383,51.1826807430175,1466,195.91073099024456,202,26.994520914071895
2021-02-25,29043,Christian,Missouri,8704,101.61339279460178,4484,52.34770832846903,13188,153.96110112307082,1192,13.915804711760723
2021-02-25,29045,Clark,Missouri,577,85.11579879038206,169,24.929930668240154,746,110.04572945862222,197,29.060333382504798
2021-02-25,29047,Clay,Missouri,24083,99.30478813768988,12537,51.69555823120948,36620,151.00034636889936,5419,22.34491744874565
2021-02-25,29049,Clinton,Missouri,2521,122.97560975609755,1023,49.90243902439025,3544,172.8780487804878,393,19.170731707317074
2021-02-25,29051,Cole,Missouri,11534,150.33301617507135,6469,84.3163067137625,18003,234.64932288883386,2347,30.590566062328115
2021-02-25,29053,Cooper,Missouri,2516,142.46885617214042,1665,94.28086070215176,4181,236.7497168742922,872,49.3771234428086
2021-02-25,29055,Crawford,Missouri,1722,71.29253953796473,574,23.76417984598824,2296,95.05671938395297,293,12.130495984102012
