report_date,geoid,county,state,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2021-03-20,29001,Adair,Missouri,5945,234.74827245804542,2721,107.44323790720632,917,36.20927936821323
2021-03-20,29003,Andrew,Missouri,3046,175.02729414468772,2050,117.79578233637879,471,27.06429925874849
2021-03-20,29005,Atchison,Missouri,1491,282.9222011385199,1144,217.07779886148006,221,41.935483870967744
2021-03-20,29007,Audrain,Missouri,4746,184.41810763551584,3117,121.11909850398291,613,23.819700796580534
2021-03-20,29009,Barry,Missouri,6482,182.62756036401544,2324,65.47769982813513,1539,43.360662665877776
2021-03-20,29011,Barton,Missouri,1733,146.24472573839662,889,75.0210970464135,318,26.835443037974684
2021-03-20,29013,Bates,Missouri,2669,163.00232075241237,1846,112.73970929522413,715,43.66678881153047
2021-03-20,29015,Benton,Missouri,5054,266.15408920954235,3562,187.58228448048868,2045,107.69392806361577
2021-03-20,29017,Bollinger,Missouri,1923,156.58334011888283,1414,115.1372038107646,122,9.934044458920283
2021-03-20,29019,Boone,Missouri,47865,271.1667563663145,25166,142.5714528510325,6640,37.617199671416024
2021-03-20,29021,Buchanan,Missouri,11187,125.58938434595177,6659,74.75638780367328,2001,22.463963357133235
2021-03-20,29023,Butler,Missouri,6013,140.71092598226195,3670,85.88210516462686,856,20.031357498888447
2021-03-20,29025,Caldwell,Missouri,1579,174.49441927284784,712,78.6827273731904,203,22.433418057243895
2021-03-20,29027,Callaway,Missouri,9017,201.092774308653,5365,119.64763603925067,1261,28.12221231043711
2021-03-20,29029,Camden,Missouri,10408,230.79652297321272,7175,159.10502040092248,1313,29.11566436047543
2021-03-20,29031,Cape Girardeau,Missouri,19003,242.6203973239365,13158,167.99448444921097,1513,19.317195240283947
2021-03-20,29033,Carroll,Missouri,2258,255.34320931810473,1185,134.0042971842135,481,54.39330543933055
2021-03-20,29035,Carter,Missouri,965,155.72050992415683,649,104.72809423914798,64,10.327577860254962
2021-03-20,29037,Cass,Missouri,20132,196.32930896608218,8927,87.05701078582435,5184,50.554894579781944
2021-03-20,29039,Cedar,Missouri,2468,177.0698809011336,1051,75.40536662361887,326,23.38929545128426
2021-03-20,29041,Chariton,Missouri,1487,197.0580439968195,938,124.30426716141002,196,25.974025974025977
2021-03-20,29043,Christian,Missouri,16997,201.68495995253636,7824,92.83892020172057,2612,30.993770394541677
2021-03-20,29045,Clark,Missouri,759,111.61764705882354,546,80.29411764705883,111,16.323529411764707
2021-03-20,29047,Clay,Missouri,21700,186.08559937571283,10464,89.73270561601193,4037,34.618781782477086
2021-03-20,29049,Clinton,Missouri,3908,190.86691086691087,2098,102.46642246642247,452,22.075702075702075
2021-03-20,29051,Cole,Missouri,17854,232.65572061506384,11356,147.98019285900443,2192,28.563982277821214
2021-03-20,29053,Cooper,Missouri,3764,213.5966405629327,2359,133.86675746226308,393,22.3016683690841
2021-03-20,29055,Crawford,Missouri,3215,132.41350906095553,1456,59.96705107084019,428,17.627677100494232
2021-03-20,29057,Dade,Missouri,1744,229.7760210803689,928,122.26613965744401,375,49.40711462450593
2021-03-20,29059,Dallas,Missouri,2757,167.10103642645007,1332,80.73216558579307,543,32.91108552033457
2021-03-20,29061,Daviess,Missouri,1263,152.13201638159478,892,107.44398940014455,264,31.799566369549503
2021-03-20,29063,DeKalb,Missouri,1826,145.33588029290036,972,77.36389684813753,232,18.465456860872333
2021-03-20,29065,Dent,Missouri,2222,143.31785345717236,1544,99.58720330237358,403,25.99329205366357
2021-03-20,29067,Douglas,Missouri,1453,108.64363690743232,781,58.39688948706445,271,20.263197248392405
2021-03-20,29069,Dunklin,Missouri,3756,123.43893782042856,2343,77.00144603654527,339,11.141054292099382
2021-03-20,29071,Franklin,Missouri,21200,206.26380362129188,10892,105.97289382278825,4235,41.20411360076279
2021-03-20,29073,Gasconade,Missouri,3750,254.30625254306256,2541,172.31791672317917,518,35.1281703512817
2021-03-20,29075,Gentry,Missouri,1606,240.96024006001502,1220,183.04576144036008,191,28.657164291072768
2021-03-20,29077,Greene,Missouri,62261,215.86248262137303,27272,94.5535989792982,9856,34.171321191697096
2021-03-20,29079,Grundy,Missouri,1819,181.19334595079192,1167,116.24663811136568,364,36.25859149317661
2021-03-20,29081,Harrison,Missouri,1452,169.74514846855274,1119,130.81599251812017,188,21.978021978021978
2021-03-20,29083,Henry,Missouri,4846,222.65104525614518,3119,143.30346887204226,1318,60.555938433264416
2021-03-20,29085,Hickory,Missouri,2118,226.08881298035865,1297,138.45004269854823,117,12.48932536293766
2021-03-20,29087,Holt,Missouri,933,209.3806104129264,740,166.06822262118493,98,21.99281867145422
2021-03-20,29089,Howard,Missouri,2339,231.28646296845645,1147,113.41837239197073,426,42.123998813408484
2021-03-20,29091,Howell,Missouri,5431,135.42965438132762,3267,81.46725849084834,532,13.266171263278638
2021-03-20,29093,Iron,Missouri,1614,157.91018491341356,944,92.35886899520594,187,18.2956657861266
2021-03-20,29095,Jackson,Missouri,74289,195.03595441311214,33914,89.03672627126876,14026,36.82340988030948
2021-03-20,29097,Jasper,Missouri,10065,132.11088651458272,5275,69.23844275851205,2061,27.052214317591158
2021-03-20,29099,Jefferson,Missouri,32331,144.78598489937394,16659,74.60300400354676,5708,25.56179523694369
2021-03-20,29101,Johnson,Missouri,7147,133.11851589711114,3727,69.41831660116597,1878,34.97923224496638
