report_date,geoid,county,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2021-08-19,29001,Adair,9899,390.8785784797631,8783,346.81145113524184,291,11.490621915103652
2021-08-19,29003,Andrew,5414,311.09578808251456,4879,280.3539619605815,192,11.032580589553525
2021-08-19,29005,Atchison,2364,448.57685009487665,2131,404.3643263757116,70,13.282732447817837
2021-08-19,29007,Audrain,8465,328.9294734796969,7161,278.25918010491546,274,10.646978822615116
2021-08-19,29009,Barry,14197,399.99436508607334,11608,327.05040430507427,666,18.764263375876933
2021-08-19,29011,Barton,3408,287.59493670886076,2929,247.1729957805907,173,14.59915611814346
2021-08-19,29013,Bates,5526,337.48625870282154,4695,286.7350677903994,207,12.641993404177354
2021-08-19,29015,Benton,8021,422.4024435199326,6958,366.42266575385753,244,12.849544473116014
2021-08-19,29017,Bollinger,3484,283.6902532367071,3009,245.01262112205845,145,11.806856119208533
2021-08-19,29019,Boone,99617,564.3543041667847,87609,496.32609126703113,2096,11.874344956519275
2021-08-19,29021,Buchanan,20706,232.4531860433787,18225,204.60056580897214,631,7.083838519915578
2021-08-19,29023,Butler,12541,293.4734280298598,10156,237.66176023213907,588,13.759857721199072
2021-08-19,29025,Caldwell,3041,336.059233064427,2690,297.27041662062106,109,12.045529892805835
2021-08-19,29027,Callaway,18300,408.11775200713646,15838,353.2114183764496,679,15.142729705619981
2021-08-19,29029,Camden,18916,419.460706049317,16756,371.5628880610254,526,11.664005676778428
2021-08-19,29031,Cape Girardeau,33344,425.71880904958886,28572,364.7924007966907,1062,13.559062356365864
2021-08-19,29033,Carroll,3526,398.73346149496774,3139,354.97003279430055,117,13.230804025783105
2021-08-19,29035,Carter,1809,291.91544295626915,1413,228.0135549459416,127,20.49378731644344
2021-08-19,29037,Cass,42435,413.8304304577636,37092,361.72495172709716,1379,13.448148075910359
2021-08-19,29039,Cedar,4248,304.7783039173483,3645,261.5152819629789,133,9.542258573683455
2021-08-19,29041,Chariton,2485,329.3135435992579,2158,285.9793267956533,58,7.686191359660747
2021-08-19,29043,Christian,37511,445.10234351824386,32518,385.85582913082175,1472,17.466627113616138
2021-08-19,29045,Clark,1717,252.5,1539,226.3235294117647,48,7.058823529411765
2021-08-19,29047,Clay,47919,410.9233104370868,42499,364.44478745937414,1468,12.588647920900756
2021-08-19,29049,Clinton,8158,398.43711843711844,7051,344.37118437118437,289,14.114774114774116
2021-08-19,29051,Cole,36346,473.6252280427417,31690,412.9528277299974,1268,16.523325514725045
2021-08-19,29053,Cooper,6684,379.29860401770514,5620,318.91953240267844,243,13.789581205311542
2021-08-19,29055,Crawford,6909,284.55518945634265,5870,241.76276771004942,296,12.191103789126855
2021-08-19,29057,Dade,3072,404.74308300395256,2689,354.2819499341239,85,11.198945981554678
2021-08-19,29059,Dallas,5491,332.808048972665,4650,281.83526274319655,242,14.667555609430874
2021-08-19,29061,Daviess,2253,271.38039026740546,2041,245.84437484943385,82,9.877138039026741
2021-08-19,29063,DeKalb,3067,244.11015600127348,2734,217.60585800700414,91,7.242916268704234
2021-08-19,29065,Dent,4171,269.0273477812177,3486,224.84520123839008,201,12.964396284829721
2021-08-19,29067,Douglas,3015,225.43741588156124,2421,181.0228802153432,143,10.692388215941378
2021-08-19,29069,Dunklin,8545,280.8268699881688,7031,231.07006704351255,283,9.300644143551992
2021-08-19,29071,Franklin,50725,493.5250678627373,45258,440.3343030326617,1691,16.452457166207765
2021-08-19,29073,Gasconade,6725,456.0558795605588,5851,396.78556896785574,306,20.751390207513904
2021-08-19,29075,Gentry,2499,374.9437359339835,2256,338.48462115528883,74,11.102775693923482
2021-08-19,29077,Greene,130533,452.56544938269036,114153,395.77504342489834,4317,14.967288310121383
2021-08-19,29079,Grundy,3106,309.3933658730949,2754,274.330112561012,103,10.259986054387888
2021-08-19,29081,Harrison,2187,255.66986205284076,1919,224.33949029693713,60,7.01426233341127
2021-08-19,29083,Henry,8829,405.6512749827705,7303,335.5387089363657,410,18.83758327590168
2021-08-19,29085,Hickory,3455,368.8087105038429,3000,320.23911187019644,66,7.045260461144321
2021-08-19,29087,Holt,1512,339.3177737881508,1370,307.45062836624777,48,10.771992818671455
2021-08-19,29089,Howard,3839,379.6104024522891,3262,322.5551270641748,117,11.56926727973895
2021-08-19,29091,Howell,12306,306.8674879058401,9319,232.38242481671736,833,20.77203132013366
2021-08-19,29093,Iron,3357,328.44144408570594,2897,283.4360630075335,117,11.447020839448195
2021-08-19,29095,Jackson,180892,474.9080464900144,156385,410.5681558628403,5432,14.260998322389923
2021-08-19,29097,Jasper,23435,307.60244664374034,19525,256.2806814900375,1153,15.134014123329745
2021-08-19,29099,Jefferson,89852,402.3788412105579,75954,340.1402584840261,2799,12.534594405782304
2021-08-19,29101,Johnson,15123,281.67781109724524,12915,240.5520683938982,587,10.933338300210472
2021-08-19,29512,Joplin,29503,589.1997683382261,25161,502.4863698999461,1207,24.10480698180656
2021-08-19,29511,Kansas City,243344,505.4744639262843,204642,425.0826206802003,7162,14.876915439213821
2021-08-19,29103,Knox,1377,348.51936218678816,1257,318.14730447987847,48,12.148823082763858
2021-08-19,29105,Laclede,12125,341.48196130340494,10123,285.09871292984485,593,16.700932210550032
2021-08-19,29107,Lafayette,13211,405.38218417257355,11476,352.1433612568658,461,14.145877443309091
2021-08-19,29109,Lawrence,13134,344.42608764062624,10919,286.33991555870244,712,18.671491883670313
2021-08-19,29111,Lewis,2529,252.21900867657325,2272,226.58821182806423,28,2.7924603570360027
2021-08-19,29113,Lincoln,19243,346.32759210265823,16827,302.8454187138923,713,12.832280474416427
2021-08-19,29115,Linn,4941,405.4652880354505,4300,352.86394222878715,92,7.5496471360577715
2021-08-19,29117,Livingston,6105,404.94826213849825,5457,361.9660387370655,136,9.020960466967365
2021-08-19,29121,Macon,5286,346.5320571653337,4629,303.4613871771339,178,11.669070407761899
2021-08-19,29123,Madison,3893,318.96763621466613,3286,269.23392052437526,128,10.48750512085211
2021-08-19,29125,Maries,2936,330.4817649707339,2484,279.6037820801441,134,15.083295812696983
2021-08-19,29127,Marion,10857,378.662109375,9699,338.27427455357144,223,7.777622767857143
2021-08-19,29119,McDonald,5111,223.901520129671,3920,171.72646427476235,171,7.491128926271521
2021-08-19,29129,Mercer,905,246.99781659388648,795,216.97598253275112,25,6.823144104803494
2021-08-19,29131,Miller,7445,297.21745379057046,6197,247.39510559303764,380,15.170266278094934
2021-08-19,29133,Mississippi,4940,359.3249927262147,4256,309.57230142566186,151,10.98341576956648
2021-08-19,29135,Moniteau,5190,325.22872540418604,4433,277.791703220955,247,15.478130091490163
2021-08-19,29137,Monroe,3352,387.33533626068873,2910,336.26068869886757,93,10.746475618211232
2021-08-19,29139,Montgomery,4945,428.32394976180166,4242,367.43178865309653,184,15.937635339974017
2021-08-19,29141,Morgan,6822,338.7793613745841,5972,296.56850573571035,211,10.478224164473358
2021-08-19,29143,New Madrid,4869,273.3703890853967,4063,228.117455505025,162,9.095502779181405
2021-08-19,29145,Newton,13209,258.0840546296477,10940,213.75119673316271,467,9.124479787421114
2021-08-19,29147,Nodaway,9315,413.13700270545974,8356,370.6036279771145,311,13.793409322748039
2021-08-19,29149,Oregon,2725,254.69670062622674,2179,203.66389382185253,131,12.244134965884662
2021-08-19,29151,Osage,4755,349.1445774285924,4041,296.71782069168074,223,16.374183126514428
2021-08-19,29153,Ozark,2476,268.08142052836723,1878,203.33477695972283,172,18.62278042442616
2021-08-19,29155,Pemiscot,3780,221.9482120838471,2633,154.60043450179083,103,6.047795196993717
2021-08-19,29157,Perry,6637,346.65204220202656,5773,301.52512274104254,243,12.691946098401754
2021-08-19,29159,Pettis,15800,372.8965566071133,13367,315.4752070991952,631,14.892261216398008
2021-08-19,29161,Phelps,17556,391.9712429391145,15197,339.3020607738507,603,13.46312710710219
2021-08-19,29163,Pike,6072,328.4114879117313,5379,290.929742008762,150,8.112932013629726
2021-08-19,29165,Platte,19556,381.96804562678227,17112,334.2318059299191,589,11.504355638892145
2021-08-19,29167,Polk,11790,373.7043963358585,10000,316.96725728232275,459,14.548797109258613
2021-08-19,29169,Pulaski,9660,183.681618527885,7609,144.68255024623986,514,9.773535395790153
2021-08-19,29171,Putnam,1353,280.9968847352025,1188,246.7289719626168,56,11.630321910695741
2021-08-19,29173,Ralls,2688,263.0909268865616,2358,230.79181755897037,76,7.438582754233141
2021-08-19,29175,Randolph,8790,352.3752254960914,6903,276.7288033674083,312,12.507516536380036
2021-08-19,29177,Ray,7515,329.24424972617743,6626,290.29572836801754,270,11.829134720700987
2021-08-19,29179,Reynolds,1385,219.31908155186065,1110,175.77197149643706,77,12.193190815518607
2021-08-19,29181,Ripley,3233,236.1060395822683,2620,191.33864018111444,158,11.53874242313591
2021-08-19,29195,Saline,9464,409.66150116872996,8240,356.67907540472686,285,12.336594234265432
2021-08-19,29197,Schuyler,1105,245.4464682363394,993,220.5686361617059,37,8.218569524655708
2021-08-19,29199,Scotland,1117,228.05226623111474,990,202.12331563903635,37,7.554103715802368
2021-08-19,29201,Scott,14911,385.00864984895037,12934,333.96163081928273,483,12.471274755351288
2021-08-19,29203,Shannon,2243,272.01067184089254,1780,215.86223623575066,118,14.309968469561
2021-08-19,29205,Shelby,2465,406.69856459330146,2218,365.94621349612277,113,18.643788153770004
2021-08-19,29183,St. Charles,210465,539.6746028693411,189366,485.57252202007766,5424,13.90822723950921
2021-08-19,29185,St. Clair,2903,309.3893211126506,2454,261.5368219119685,122,13.002238090163061
2021-08-19,29187,St. Francois,25667,386.88915016128544,21755,327.92198004280846,869,13.098791112718942
2021-08-19,29189,St. Louis,538969,539.6792178506915,475084,475.7100344052774,11012,11.02651088832904
2021-08-19,29510,St. Louis City,136202,437.5644530685283,115162,369.97105434779115,4067,13.065701169070238
2021-08-19,29186,Ste. Genevieve,6859,383.8061664148621,6055,338.81707794751276,233,13.037882603099995
2021-08-19,29207,Stoddard,9748,330.306316074817,8109,274.7695852534562,476,16.129032258064516
2021-08-19,29209,Stone,11106,352.2694833000285,9768,309.8296698068322,367,11.640815808671933
2021-08-19,29211,Sullivan,2361,373.75336393857845,1963,310.7487731518126,144,22.795630837422827
2021-08-19,29213,Taney,20064,366.66666666666663,16891,308.68055555555554,1036,18.932748538011698
2021-08-19,29215,Texas,7445,290.01597132951576,6123,238.518172256632,429,16.711464298235363
2021-08-19,29217,Vernon,6019,290.89942487071676,5138,248.32052583248756,231,11.164274322169058
2021-08-19,29219,Warren,13155,387.9615429987024,11719,345.61165506665094,444,13.094255043057686
2021-08-19,29221,Washington,6920,277.56608238738914,5757,230.917331835867,181,7.2600377040632145
