report_date,geoid,county,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2022-03-12,29001,Adair,12694,501.243830207305,11597,457.9269496544916,32,1.2635735439289242
2022-03-12,29003,Andrew,8504,488.65138194564156,8157,468.71229098431303,6,0.34476814342354767
2022-03-12,29005,Atchison,2996,568.5009487666034,2881,546.6793168880455,5,0.9487666034155597
2022-03-12,29007,Audrain,10975,426.4620167087624,9718,377.61802992034194,24,0.9325820866524189
2022-03-12,29009,Barry,16590,467.4161102189164,14731,415.039585270335,36,1.0142845068041586
2022-03-12,29011,Barton,4093,345.40084388185653,3781,319.0717299578059,3,0.25316455696202533
2022-03-12,29013,Bates,6762,412.97178453646023,6322,386.0999144985953,7,0.42750702332966894
2022-03-12,29015,Benton,9638,507.5570066880826,8784,462.58360103217655,7,0.36863447258939386
2022-03-12,29017,Bollinger,3975,323.670710854165,3649,297.1256412344271,14,1.1399723149580652
2022-03-12,29019,Boone,118640,672.124182080843,106072,600.9234342690422,205,1.161374387445826
2022-03-12,29021,Buchanan,34665,389.162063855584,32511,364.9804661188199,51,0.5725447932102923
2022-03-12,29023,Butler,16203,379.168324245899,14611,341.9137434769382,20,0.4680223714693562
2022-03-12,29025,Caldwell,3781,417.83622499723725,3556,392.9715990717206,3,0.3315283456735551
2022-03-12,29027,Callaway,23123,515.6779661016949,21676,483.4076717216771,45,1.0035682426404995
2022-03-12,29029,Camden,21289,472.08178108923187,20635,457.57938619833243,40,0.8869966294128082
2022-03-12,29031,Cape Girardeau,43036,549.4612123997753,39152,499.87232521321687,101,1.2895153465093714
2022-03-12,29033,Carroll,4385,495.87244147913606,4323,488.86124618342194,6,0.6785027705529798
2022-03-12,29035,Carter,2028,327.2551234468291,1746,281.74923350008066,2,0.32273680813296757
2022-03-12,29037,Cass,58102,566.6166058785669,52758,514.5013750463224,69,0.6728950088744124
2022-03-12,29039,Cedar,5235,375.59190701678864,4918,352.84832831109196,13,0.9327019658487588
2022-03-12,29041,Chariton,3382,448.18446859263184,3145,416.77710045056983,6,0.795123244102836
2022-03-12,29043,Christian,45059,534.6662711361614,41520,492.67279738949867,66,0.7831504004746366
2022-03-12,29045,Clark,2179,320.44117647058823,2019,296.9117647058824,NA,NA
2022-03-12,29047,Clay,61844,530.3353828475384,56845,487.4670920051795,66,0.5659746340459468
2022-03-12,29049,Clinton,10431,509.4505494505495,9802,478.73015873015873,10,0.4884004884004884
2022-03-12,29051,Cole,42577,554.8214751107637,39569,515.6241855616368,104,1.3552254365389629
2022-03-12,29053,Cooper,8445,479.23050732039496,7733,438.82646691635455,26,1.4754284417205765
2022-03-12,29055,Crawford,9351,385.1317957166392,8614,354.7775947281713,23,0.9472817133443163
2022-03-12,29057,Dade,3610,475.6258234519104,3409,449.1436100131752,8,1.054018445322793
2022-03-12,29059,Dallas,6569,398.14534214194805,6052,366.81010970361837,11,0.6667070731559489
2022-03-12,29061,Daviess,3171,381.95615514333895,3171,381.95615514333895,5,0.6022645145748012
2022-03-12,29063,DeKalb,4009,319.0862782553327,3883,309.0576249602038,4,0.3183699458771092
2022-03-12,29065,Dent,5666,365.45407636738906,5089,328.2378740970072,12,0.7739938080495357
2022-03-12,29067,Douglas,3684,275.45984746523106,3222,240.9152086137281,5,0.37385972783011817
2022-03-12,29069,Dunklin,11338,372.6173261469699,10185,334.72459576705666,33,1.0845274089654267
2022-03-12,29071,Franklin,57709,561.4753699613741,54019,525.5737928216304,82,0.7978128253276383
2022-03-12,29073,Gasconade,7171,486.3013698630137,6763,458.6328495863285,10,0.6781500067815001
2022-03-12,29075,Gentry,2927,439.1597899474869,2763,414.5536384096024,2,0.30007501875468867
2022-03-12,29077,Greene,161620,560.3458736812179,148494,514.8372736444671,257,0.8910338419507053
2022-03-12,29079,Grundy,3973,395.7565494571173,3863,384.79928279709134,13,1.294949696184879
2022-03-12,29081,Harrison,3114,364.0402151040449,2895,338.43815758709377,4,0.46761748889408467
2022-03-12,29083,Henry,10962,503.6526533425224,10023,460.50999310820123,30,1.3783597518952446
2022-03-12,29085,Hickory,4080,435.5251921434671,3746,399.87190435525196,8,0.8539709649871904
2022-03-12,29087,Holt,1984,445.2423698384201,2006,450.1795332136445,1,0.2244165170556553
2022-03-12,29089,Howard,4768,471.47236230594285,4272,422.4265796499555,4,0.39553050529022055
