report_date,category,initiated,completed
2021-05-18,"Missouri, Known Jurisdiction",2047355,1719412
2021-05-18,"Missouri, Unknown Jurisdiction",96698,67374
2021-05-18,Unknown or Out-of-state Jurisdiction,299973,240923
