report_date,geoid,county,state,first_dose,first_dose_rate,second_dose,second_dose_rate,total_dose,total_dose_rate,prior_week_dose,prior_week_rate
2021-02-26,29001,Adair,Missouri,3911,154.16453151484095,1388,54.71244432181008,5299,208.876975836651,247,9.736292325278884
2021-02-26,29003,Andrew,Missouri,2054,117.35131120379363,707,40.3930754727761,2761,157.74438667656972,797,45.5350511340913
2021-02-26,29005,Atchison,Missouri,1097,209.79154714094472,399,76.30522088353415,1496,286.0967680244789,107,20.462803595333714
2021-02-26,29007,Audrain,Missouri,3647,142.21650288566525,2143,83.56730619248168,5790,225.78380907814693,748,29.168616440492904
2021-02-26,29009,Barry,Missouri,2738,77.06163805235012,990,27.86377708978328,3728,104.92541514213342,660,18.575851393188852
2021-02-26,29011,Barton,Missouri,971,82.30906162583707,276,23.39577858777655,1247,105.70484021361364,236,20.00508603882343
2021-02-26,29013,Bates,Missouri,1922,117.94305351006382,607,37.24840451644575,2529,155.19145802650957,217,13.31615120274914
2021-02-26,29015,Benton,Missouri,3821,199.97906526403935,971,50.819071544460144,4792,250.7981368084995,988,51.70879782278746
2021-02-26,29017,Bollinger,Missouri,1615,132.10633946830265,707,57.832310838445814,2322,189.93865030674849,341,27.893660531697343
2021-02-26,29019,Boone,Missouri,28956,162.9937349072057,15607,87.85202447495371,44563,250.84575938215943,5021,28.263280251729515
2021-02-26,29021,Buchanan,Missouri,7108,80.35270178611802,3593,40.61722812570653,10701,120.96992991182455,1345,15.20461225412616
2021-02-26,29023,Butler,Missouri,4218,98.884096024006,2656,62.2655663915979,6874,161.1496624156039,522,12.237434358589647
2021-02-26,29025,Caldwell,Missouri,1200,132.75804845668767,359,39.716782829959065,1559,172.47483128664675,526,58.192277906848105
2021-02-26,29027,Callaway,Missouri,5869,130.7447258793914,3098,69.01468065673106,8967,199.7594065361224,1238,27.57913965559491
2021-02-26,29029,Camden,Missouri,6521,143.42585668411562,2490,54.7661989178727,9011,198.1920556019883,1622,35.67500989750583
2021-02-26,29031,Cape Girardeau,Missouri,14008,178.46632097947534,10090,128.54977003732913,24098,307.01609101680447,2043,26.028461861869513
2021-02-26,29033,Carroll,Missouri,1324,150.78009338344154,731,83.24792164901491,2055,234.02801503245644,282,32.11479330372395
2021-02-26,29035,Carter,Missouri,802,130.47014803969418,488,79.38831950544981,1290,209.85846754514398,137,22.287294615259473
2021-02-26,29037,Cass,Missouri,9496,91.66288599090707,4293,41.43942392154213,13789,133.10230991244921,1434,13.842099674701005
2021-02-26,29039,Cedar,Missouri,1220,86.876023641672,628,44.71978921882789,1848,131.5958128604999,186,13.245033112582782
2021-02-26,29041,Chariton,Missouri,1143,152.7462247761593,393,52.519043164506215,1536,205.26526794066552,255,34.07724174796205
2021-02-26,29043,Christian,Missouri,8860,103.43458871325504,4619,53.923743258072804,13479,157.35833197132783,1243,14.511195685166593
2021-02-26,29045,Clark,Missouri,605,89.24620150464669,170,25.07744505089246,775,114.32364655553917,188,27.732703938634014
2021-02-26,29047,Clay,Missouri,26836,110.65661647066585,13123,54.11189364825414,39959,164.76851011892,5591,23.054149004601758
2021-02-26,29049,Clinton,Missouri,2620,127.8048780487805,1173,57.21951219512195,3793,185.02439024390245,437,21.31707317073171
2021-02-26,29051,Cole,Missouri,12004,156.45894972824317,7246,94.4436479282614,19250,250.90259765650458,2954,38.50214407674361
2021-02-26,29053,Cooper,Missouri,2597,147.0554926387316,1818,102.9445073612684,4415,250,1110,62.85390713476784
2021-02-26,29055,Crawford,Missouri,1753,72.57597085368883,594,24.59220004968121,2347,97.16817090337004,294,12.171896994286662
2021-02-26,29057,Dade,Missouri,954,125.89073634204276,551,72.71047769860121,1505,198.60121404064395,358,47.2420163631565
2021-02-26,29059,Dallas,Missouri,1550,93.27796834567009,408,24.553168441957034,1958,117.83113678762713,220,13.239453571643498
2021-02-26,29061,Daviess,Missouri,921,111.03074141048825,264,31.826401446654614,1185,142.85714285714286,72,8.679927667269439
2021-02-26,29063,DeKalb,Missouri,954,76.16158390547662,470,37.521954334983235,1424,113.68353824045985,311,24.8283570174038
2021-02-26,29065,Dent,Missouri,1720,110.64651013187519,478,30.749437118044387,2198,141.39594724991957,143,9.19909938887102
2021-02-26,29067,Douglas,Missouri,1104,82.97008868179769,349,26.22876897640162,1453,109.19885765819932,154,11.573726138584096
2021-02-26,29069,Dunklin,Missouri,2359,78.56262696906117,973,32.40416958071069,3332,110.96679654977187,308,10.257434975188996
2021-02-26,29071,Franklin,Missouri,11240,108.92422788809101,5192,50.314465408805034,16432,159.23869329689606,2123,20.573499626905445
2021-02-26,29073,Gasconade,Missouri,2687,182.65243695194073,1659,112.77275508123174,4346,295.4251920331725,1145,77.83291414587723
2021-02-26,29075,Gentry,Missouri,1117,168.83313180169287,717,108.37363966142684,1834,277.2067714631197,464,70.13301088270859
2021-02-26,29077,Greene,Missouri,31480,108.64313422327751,16841,58.12131586576292,48321,166.76445008904042,3998,13.79781609354077
2021-02-26,29079,Grundy,Missouri,1101,110.18815052041633,497,49.739791833466775,1598,159.9279423538831,254,25.420336269015213
2021-02-26,29081,Harrison,Missouri,1033,121.65822635731952,524,61.71240136615239,1557,183.3706277234719,333,39.217995524673185
2021-02-26,29083,Henry,Missouri,3371,155.0954681389464,1510,69.47319990798252,4881,224.5686680469289,403,18.54152288934898
