report_date,category,initiated,initiated_pct,completed,completed_pct
2021-09-19,"Missouri, Known Jurisdiction",2785783,0.8552692496622867,2482314,0.8624392338672693
2021-09-19,"Missouri, Unknown Jurisdiction",135945,0.04173676777600393,113557,0.039453514777044923
2021-09-19,No Address Given,161051,0.04944461500675427,139847,0.04858754353342728
2021-09-19,Out-of-State,174421,0.05354936755495518,142530,0.04951970782225854
