report_date,new_in_pt,new_in_pt_avg,in_pt,in_pt_avg,icu,icu_avg,vent,vent_avg,mortality,mortality_avg
2020-04-22,44,48.857142857142854,685,700.7142857142857,185,181.57142857142858,133,139.85714285714286,NA,NA
2020-04-23,36,47,694,701.7142857142857,170,180.28571428571428,123,135.28571428571428,NA,NA
2020-04-24,44,44.857142857142854,701,704.1428571428571,168,179.57142857142858,114,131,NA,NA
2020-04-25,45,45.142857142857146,652,699.7142857142857,159,177.14285714285714,118,128.42857142857142,NA,NA
2020-04-26,42,43.57142857142857,652,698.7142857142857,162,175.28571428571428,115,125,NA,NA
2020-04-27,45,43.285714285714285,690,689.1428571428571,154,169.28571428571428,109,120.28571428571429,NA,NA
2020-04-28,38,42,678,678.8571428571429,159,165.28571428571428,113,117.85714285714286,NA,NA
2020-04-29,45,42.142857142857146,702,681.2857142857143,160,161.71428571428572,121,116.14285714285714,NA,NA
2020-04-30,57,45.142857142857146,685,680,164,160.85714285714286,117,115.28571428571429,NA,NA
2020-05-01,49,45.857142857142854,654,673.2857142857143,164,160.28571428571428,112,115,NA,NA
2020-05-02,34,44.285714285714285,656,673.8571428571429,178,163,118,115,NA,NA
2020-05-03,36,43.42857142857143,660,675,158,162.42857142857142,117,115.28571428571429,NA,NA
2020-05-04,38,42.42857142857143,653,669.7142857142857,164,163.85714285714286,110,115.42857142857143,NA,NA
2020-05-05,36,42.142857142857146,673,669,158,163.71428571428572,117,116,NA,NA
2020-05-06,34,40.57142857142857,630,658.7142857142857,145,161.57142857142858,118,115.57142857142857,NA,NA
2020-05-07,31,36.857142857142854,596,646,147,159.14285714285714,106,114,NA,NA
2020-05-08,28,33.857142857142854,506,624.8571428571429,133,154.71428571428572,104,112.85714285714286,NA,NA
2020-05-09,17,31.428571428571427,540,608.2857142857143,138,149,108,111.42857142857143,NA,NA
2020-05-10,22,29.428571428571427,505,586.1428571428571,140,146.42857142857142,111,110.57142857142857,NA,NA
2020-05-11,34,28.857142857142858,492,563.1428571428571,131,141.71428571428572,98,108.85714285714286,NA,NA
2020-05-12,34,28.571428571428573,531,542.8571428571429,137,138.71428571428572,94,105.57142857142857,NA,NA
2020-05-13,25,27.285714285714285,513,526.1428571428571,125,135.85714285714286,93,102,NA,NA
2020-05-14,28,26.857142857142858,488,510.7142857142857,121,132.14285714285714,84,98.85714285714286,NA,NA
2020-05-15,30,27.142857142857142,464,504.7142857142857,120,130.28571428571428,88,96.57142857142857,NA,NA
2020-05-16,30,29,456,492.7142857142857,122,128,84,93.14285714285714,NA,NA
2020-05-17,26,29.571428571428573,467,487.2857142857143,121,125.28571428571429,75,88,NA,NA
2020-05-18,31,29.142857142857142,487,486.57142857142856,109,122.14285714285714,76,84.85714285714286,NA,NA
2020-05-19,20,27.142857142857142,455,475.7142857142857,98,116.57142857142857,70,81.42857142857143,NA,NA
2020-05-20,27,27.428571428571427,436,464.7142857142857,103,113.42857142857143,69,78,NA,NA
2020-05-21,28,27.428571428571427,448,459,94,109.57142857142857,75,76.71428571428571,NA,NA
2020-05-22,20,26,430,454.14285714285717,102,107,74,74.71428571428571,NA,NA
2020-05-23,21,24.714285714285715,408,447.2857142857143,100,103.85714285714286,65,72,NA,NA
2020-05-24,13,22.857142857142858,413,439.57142857142856,110,102.28571428571429,71,71.42857142857143,NA,NA
2020-05-25,20,21.285714285714285,395,426.42857142857144,97,100.57142857142857,65,69.85714285714286,NA,NA
2020-05-26,25,22,415,420.7142857142857,86,98.85714285714286,62,68.71428571428571,NA,NA
2020-05-27,28,22.142857142857142,395,414.85714285714283,91,97.14285714285714,63,67.85714285714286,NA,NA
2020-05-28,20,21,398,407.7142857142857,87,96.14285714285714,57,65.28571428571429,NA,NA
2020-05-29,20,21,363,398.14285714285717,97,95.42857142857143,59,63.142857142857146,NA,NA
2020-05-30,16,20.285714285714285,321,385.7142857142857,75,91.85714285714286,47,60.57142857142857,NA,NA
2020-05-31,18,21,321,372.57142857142856,87,88.57142857142857,50,57.57142857142857,NA,NA
2020-06-01,20,21,331,363.42857142857144,78,85.85714285714286,53,55.857142857142854,NA,NA
2020-06-02,25,21,348,353.85714285714283,68,83.28571428571429,46,53.57142857142857,NA,NA
2020-06-03,16,19.285714285714285,341,346.14285714285717,74,80.85714285714286,51,51.857142857142854,NA,NA
2020-06-04,24,19.857142857142858,307,333.14285714285717,72,78.71428571428571,43,49.857142857142854,NA,NA
2020-06-05,3,17.428571428571427,316,326.42857142857144,68,74.57142857142857,43,47.57142857142857,NA,NA
2020-06-06,15,17.285714285714285,309,324.7142857142857,73,74.28571428571429,41,46.714285714285715,NA,NA
2020-06-07,18,17.285714285714285,295,321,75,72.57142857142857,44,45.857142857142854,NA,NA
2020-06-08,18,17,279,313.57142857142856,71,71.57142857142857,37,43.57142857142857,NA,NA
2020-06-09,16,15.714285714285714,242,298.42857142857144,62,70.71428571428571,34,41.857142857142854,NA,NA
2020-06-10,14,15.428571428571429,271,288.42857142857144,62,69,37,39.857142857142854,NA,NA
2020-06-11,24,15.428571428571429,262,282,62,67.57142857142857,33,38.42857142857143,NA,NA
2020-06-12,16,17.285714285714285,258,273.7142857142857,57,66,29,36.42857142857143,NA,NA
2020-06-13,6,16,235,263.14285714285717,61,64.28571428571429,35,35.57142857142857,NA,NA
2020-06-14,10,14.857142857142858,241,255.42857142857142,66,63,39,34.857142857142854,NA,NA
2020-06-15,17,14.714285714285714,246,250.71428571428572,66,62.285714285714285,42,35.57142857142857,NA,NA
2020-06-16,14,14.428571428571429,250,251.85714285714286,59,61.857142857142854,34,35.57142857142857,NA,NA
2020-06-17,19,15.142857142857142,232,246.28571428571428,57,61.142857142857146,31,34.714285714285715,NA,NA
