report_date,district,initiated,initiated_rate,complete,complete_rate,last7,last7_rate,total_pop
2022-03-05,A,822995,599.3194078717405,739553,538.5554785263207,2063,1.5023128189592898,1373216
2022-03-05,B,77112,427.99578176166955,70779,392.8456457789865,NA,NA,180170
2022-03-05,C,1455934,643.5707418417302,1307362,577.8970284337669,3359,1.4847885425069896,2262275
2022-03-05,D,438790,492.03067076028765,400048,448.58790258736883,835,0.9363148888644688,891794
2022-03-05,E,133446,417.27563531298955,120808,377.7575569960257,337,1.053773729452194,319803
2022-03-05,F,272036,546.5698240961193,249080,500.447042986448,651,1.3079774569783913,497715
2022-03-05,G,54003,364.01445191905844,48770,328.7407147768176,144,0.9706512800463756,148354
2022-03-05,H,100259,426.30750914193385,94768,402.95943532613313,NA,NA,235180
2022-03-05,I,68454,377.0427694087191,60447,332.94043127426954,243,1.3384373881193026,181555
